time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/std
89,92.59682414,28480,8.56,28588,0,0.2,3274.34326171875,0.029162466526031494,0.017935397,-0.017520656770545883,0.0003,880,-10.561717966198922,7973.242288208008,0.19062500353902578,0.9092223644256592
90,108.99086635999998,28800,9.37,28735,1,0.2,3875.80859375,-0.0410999059677124,0.027923647,0.0023291337143859893,0.0003,890,-10.550267106294632,5390.92684173584,0.42375000671017915,0.9050928354263306
91,111.90216398999999,29120,9.55,28917,1,0.2,3138.465576171875,0.00864642858505249,0.017498769,0.008506475731110186,0.0003,900,-10.494176885485649,6939.832467651368,0.30531250501517204,0.9007738828659058
92,95.05654313000002,29440,8.16,29306,1,0.2,3672.50537109375,0.008882462978363037,0.1679621,0.020824176794849335,0.0003,910,-10.492299035191536,8149.021753692627,0.37218750664032996,0.9007405042648315
93,90.55205135999996,29760,7.67,29486,1,0.2,1709.8885498046875,0.004740357398986816,0.014287079,-0.00931863700109119,0.0003,920,-10.485289290547371,7074.548767471313,0.15812500326428564,0.8997050523757935
94,78.03386608,30080,6.89,30105,0,0.2,3417.125244140625,0.01234370470046997,0.0074087037,0.006587192783382534,0.0003,930,-10.479846948385239,7673.167134475708,0.18312500272877513,0.8998933434486389
95,80.74563882000001,30400,6.83,30327,1,0.2,4828.58837890625,0.020290374755859375,0.010935957,-0.010637448897421109,0.0003,940,-10.47860744893551,7724.017509460449,0.18750000381842255,0.8988474607467651
96,90.17659999000001,30720,7.43,30673,1,0.2,5015.359375,-0.0022859573364257812,0.01473701,-0.01979172443059838,0.0003,950,-10.469571194052696,8716.190726470948,0.17125000355299563,0.8984792232513428
97,101.67573892,31040,8.28,30916,1,0.2,3091.233154296875,0.009231746196746826,0.007912702,-0.012764457610865065,0.0003,960,-10.470583480596542,10116.458859252929,0.19906250427011402,0.8978687524795532
98,107.87779426999998,31360,8.74,31177,1,0.2,6428.8671875,0.006987035274505615,0.019217566,-0.009608074136372125,0.0003,970,-10.460884419083595,8131.156063842774,0.13250000264961273,0.8971093893051147
99,120.58900664999999,31680,9.31,31455,1,0.2,4173.87939453125,0.00563359260559082,0.009269605,-0.0005845254280757217,0.0003,980,-10.437717491388321,8613.848548126221,0.1303125025704503,0.8927944302558899
100,134.79876119,32000,9.73,31790,1,0.2,3131.6708984375,-0.006001114845275879,0.017490154,0.009921133654842151,0.0003,990,-10.396512919664383,10736.374999237061,0.2462500042980537,0.8875542283058167
