rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/n_updates,train/explained_variance,train/entropy_loss,train/approx_kl
6.37,5250,16320,51,185.05078201999996,3,0.21218750420957805,0.0003,0.2,22631.828125,34676.88465576172,0.003820049046623808,0.8929413557052612,500,0.0211297869682312,-3.9194628059864045,0.021387583
6.72,5389,16640,52,206.28663302,3,0.13718750197440385,0.0003,0.2,8635.703125,23288.47993774414,-0.004909836516844734,0.8890392780303955,510,0.03302234411239624,-3.9064093098044395,0.0062420657
6.41,5558,16960,53,199.93798255999994,3,0.14375000270083546,0.0003,0.2,36027.2734375,48837.79420776367,-0.010350478160717103,0.8914998769760132,520,-0.02111673355102539,-3.9024125784635544,0.009371364
6.53,5632,17280,54,201.17501531,3,0.13750000244472177,0.0003,0.2,5589.6142578125,30342.197979736327,-0.004593054191934698,0.8868534564971924,530,0.03747725486755371,-3.902241089940071,0.010168517
6.69,5748,17600,55,206.51219907000004,3,0.1178125023143366,0.0003,0.2,33273.6171875,45248.075512695315,-0.00854742347589763,0.8858855962753296,540,0.006444573402404785,-3.891053129732609,0.008327877
6.48,5892,17920,56,196.58000713,3,0.04593750089406967,0.0003,0.2,15201.9599609375,36159.10981445313,-0.0004836790744093378,0.8813509941101074,550,0.017139971256256104,-3.881434878706932,0.0034811064
7.26,5964,18240,57,213.41639800000002,3,0.11281250196043402,0.0003,0.2,11131.490234375,30726.692492675782,0.005655613322483077,0.8793843984603882,560,0.023973703384399414,-3.871154475212097,0.0015276533
7.62,6104,18560,58,228.36204943999996,3,0.10593750192783773,0.0003,0.2,10240.08203125,24573.00457763672,-0.001639519705460657,0.8761526942253113,570,-0.00561976432800293,-3.8625166580080985,0.0031669156
7.73,6196,18880,59,241.83918587,3,0.15687500238418578,0.0003,0.2,14627.625,27307.437286376953,-0.005978299266257636,0.8777338266372681,580,0.038686156272888184,-3.859384025633335,0.007943675
7.62,6308,19200,60,252.34812043999997,3,0.13375000222586095,0.0003,0.2,13873.177734375,36637.272650146486,-0.0006042111664555705,0.8733565211296082,590,0.02007049322128296,-3.8543873563408853,0.010329364
7.53,6425,19520,61,253.27564405,3,0.1478125022724271,0.0003,0.2,17839.08203125,32566.18403930664,0.00664847578939316,0.8709403276443481,600,0.01947927474975586,-3.840602581202984,0.0017276088
7.61,6508,19840,62,258.13074623,3,0.14656250257976353,0.0003,0.2,20761.34375,33673.74061279297,-0.003309523427742533,0.866320788860321,610,-0.02800142765045166,-3.8298102647066115,0.01848734
7.86,6633,20160,63,270.23780054,3,0.06937500163912773,0.0003,0.2,9335.11328125,34204.403979492185,-0.002153246751728943,0.8628952503204346,620,0.04662209749221802,-3.8157846480607986,0.005998633
7.65,6714,20480,64,267.00093416000004,3,0.11156250161584466,0.0003,0.2,12358.6962890625,38126.68647460938,-0.004142872458055535,0.8597760200500488,630,0.0060454607009887695,-3.8062805756926537,0.010721574
7.45,6795,20800,65,256.83612662,3,0.08187500173225999,0.0003,0.2,21124.34765625,33502.85749511719,0.002650054535115487,0.8586008548736572,640,0.009177207946777344,-3.7969113320112227,0.0032721348
7.37,6980,21120,66,246.81017937000001,3,0.1412500025704503,0.0003,0.2,12507.4970703125,27950.710467529298,-0.002562996752624258,0.8582956194877625,650,-0.01824212074279785,-3.796529453992844,0.0073940307
7.07,7096,21440,67,238.58497032,3,0.13125000225845723,0.0003,0.2,9182.0302734375,23749.74431762695,-0.0032479792152116716,0.8541926741600037,660,0.07114267349243164,-3.7871677815914153,0.0112768095
6.69,7173,21760,68,223.64897743999998,3,0.24687500393483788,0.0003,0.2,6818.77734375,26924.54768066406,-0.014040130420585228,0.854407012462616,670,0.05054360628128052,-3.7800486639142035,0.0126337595
6.96,7252,22080,69,238.40964895000002,3,0.12406250187195837,0.0003,0.2,14467.4052734375,30877.28434448242,-0.007732333768450417,0.8514068126678467,680,0.0036779046058654785,-3.7755272686481476,0.0085741915
6.59,7336,22400,70,205.75233641000003,3,0.08781250165775419,0.0003,0.2,12946.7451171875,37110.40761108398,-0.0017686682583189395,0.847813606262207,690,0.010612189769744873,-3.7636223137378693,0.00927209
6.98,7411,22720,71,223.75765551999996,3,0.0934375011594966,0.0003,0.2,11874.81640625,23078.072357177734,-0.003409792692764313,0.8435444235801697,700,-0.054990172386169434,-3.7510063484311105,0.0068182163
7.57,7528,23040,72,248.44410901999998,3,0.12500000239815562,0.0003,0.2,25204.369140625,35762.21651000976,0.00024487309647156506,0.8395988941192627,710,-0.0015709400177001953,-3.732306532561779,0.0070034843
7.13,7690,23360,73,227.47836815,3,0.12656250197906047,0.0003,0.2,18899.6171875,41569.83740234375,0.004645517675054833,0.8347708582878113,720,0.06744939088821411,-3.717392973601818,0.01251444
7.04,7804,23680,74,226.49021239,3,0.08812500177882612,0.0003,0.2,10536.21484375,34261.1585144043,-0.004487391864222446,0.8294076919555664,730,0.029774069786071777,-3.699699105322361,0.0062129553
7.22,7905,24000,75,242.74605225,3,0.11218750190455466,0.0003,0.2,12785.9423828125,22098.518115234376,-0.0019152445595864264,0.8279472589492798,740,0.029762566089630127,-3.6864155560731886,0.012775976
6.79,8014,24320,76,229.47501379999997,3,0.16343750269152224,0.0003,0.2,10995.0390625,29333.84945678711,0.0026672916220832122,0.8248604536056519,750,0.011149287223815918,-3.677846872806549,0.022783587
7.11,8096,24640,77,244.21769752999998,3,0.18250000320840626,0.0003,0.2,16143.4921875,30595.95415649414,-0.007813826180586148,0.8239669799804688,760,0.03698807954788208,-3.670108561217785,0.011158101
7.55,8216,24960,78,273.36270242,3,0.13343750268686563,0.0003,0.2,24632.775390625,35643.63397216797,0.007831852680874362,0.8251875638961792,770,0.01634126901626587,-3.6726319804787635,0.008777779
6.72,8386,25280,79,240.20244548000002,3,0.18593750316649676,0.0003,0.2,19061.134765625,43085.836462402345,-0.005104625893773118,0.8216692805290222,780,0.0453265905380249,-3.6652873679995537,0.005994287
