eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates
5.0,3760,248.94557189941406,,,,,,0.0003,0.07991844415664673,-3.9634167551994324,-0.03493554580199998,7004.067698669433,0.2500000046566129,3874.845703125,0.2,0.020892702,0.9068729281425476,930
,3760,,3374,94,163.73664692999998,3.49,1,,,,,,,,,,,
3.0,3800,40.10799026489258,,,,,,0.0003,0.09773808717727661,-3.9554158985614776,0.007643410520377069,11807.784101867675,0.042500000633299354,6907.9833984375,0.2,0.0035081715,0.9050765037536621,940
,3800,,3399,95,158.24011434,3.47,1,,,,,,,,,,,
3.0,3840,53.528663635253906,,,,,,0.0003,0.057798147201538086,-3.9527604460716246,-0.012101755151961702,8346.286637878418,0.10000000204890966,2868.77685546875,0.2,0.011241835,0.9057065844535828,950
,3840,,3423,96,145.73335022,3.36,1,,,,,,,,,,,
5.0,3880,316.01601219177246,,,,,,0.0003,-0.026323795318603516,-3.954814836382866,-0.019118914833670713,12410.30503540039,0.2700000056996942,8632.353515625,0.2,0.01418369,0.9056326150894165,960
,3880,,3462,97,145.28136794999998,3.37,1,,,,,,,,,,,
5.0,3920,214.4317626953125,,,,,,0.0003,0.18309873342514038,-3.9529280036687853,0.003866343373401837,5539.682995605469,0.26500000562518833,2392.97998046875,0.2,0.006736718,0.9051355719566345,970
,3920,,3484,98,143.51880724999998,3.38,1,,,,,,,,,,,
4.0,3960,33.31150645017624,,,,,,0.0003,0.23039919137954712,-3.945241633057594,-0.018512852369276512,5784.526642799377,0.2375000048428774,3317.83984375,0.2,0.049702976,0.9013686180114746,980
,3960,,3512,99,135.83487512000002,3.23,1,,,,,,,,,,,
4.0,4000,121.19249820709229,,,,,,0.0003,-0.10294067859649658,-3.935375264286995,0.01731769431207795,10170.542622375488,0.24500000458210708,7989.5947265625,0.2,0.010390893,0.8989599943161011,990
,4000,,3534,100,132.90025737,3.23,1,,,,,,,,,,,
1.0,4040,-5.0,,,,,,0.0003,0.08276194334030151,-3.934623211622238,0.034776868947665206,13346.289440917968,0.4500000089406967,4968.076171875,0.2,0.011185238,0.9003102779388428,1000
,4040,,3554,101,137.86935791,3.22,1,,,,,,,,,,,
5.0,4080,273.07653427124023,,,,,,0.0003,-0.04829668998718262,-3.9330574721097946,-0.024686268166915392,10810.599914550781,0.4250000100582838,3638.798095703125,0.2,0.04579257,0.8981906771659851,1010
,4080,,3602,102,129.43305162000001,3.17,1,,,,,,,,,,,
5.0,4120,70.59755945205688,,,,,,0.0003,0.12363898754119873,-3.924977186322212,-0.020283624294243054,5798.737327194214,0.220000003837049,4383.4912109375,0.2,0.012226923,0.896793782711029,1020
,4120,,3625,103,129.67467439,3.16,1,,,,,,,,,,,
2.0,4160,17.599313735961914,,,,,,0.0003,0.033013105392456055,-3.918649932742119,-0.016715221935883172,5970.020269393921,0.15250000283122062,2310.80322265625,0.2,0.04815094,0.8953031897544861,1030
,4160,,3649,104,139.07749220999997,3.31,1,,,,,,,,,,,
5.0,4200,210.721116065979,,,,,,0.0003,0.09144991636276245,-3.9203501850366593,-0.008915867946125223,11035.439421844483,0.2575000062584877,2457.40576171875,0.2,0.04142635,0.8966572284698486,1040
,4200,,3674,105,138.41947014,3.21,1,,,,,,,,,,,
5.0,4240,267.0947265625,,,,,,0.0003,0.04752814769744873,-3.9153756618499758,-0.01246635475883524,12969.995481872558,0.2725000062957406,6381.927734375,0.2,0.014992474,0.8930105566978455,1050
,4240,,3698,106,136.43833386999998,3.1,1,,,,,,,,,,,
5.0,4280,539.8968505859375,,,,,,0.0003,0.057527899742126465,-3.905514281988144,0.005938267237188488,12068.057617950439,0.13750000298023224,4218.49951171875,0.2,0.009907385,0.890967845916748,1060
,4280,,3722,107,144.57282122,3.12,1,,,,,,,,,,,
5.0,4320,483.5849075317383,,,,,,0.0003,0.012233614921569824,-3.9012723356485366,-0.013632159476255757,18161.653729248046,0.14250000268220903,2895.310302734375,0.2,0.013261363,0.8909618854522705,1070
,4320,,3748,108,134.37962619999996,3.04,1,,,,,,,,,,,
5.0,4360,351.16162872314453,,,,,,0.0003,0.05905711650848389,-3.9004524290561675,-0.030199120192301043,8272.474328613282,0.2675000062212348,3617.1083984375,0.2,0.015994832,0.8905625343322754,1080
,4360,,3770,109,132.04717311,3.03,1,,,,,,,,,,,
3.0,4400,-15.0,,,,,,0.0003,-0.03661704063415527,-3.8979816257953646,-0.021116062303353833,11818.72519378662,0.37250000778585673,7739.96142578125,0.2,0.040129557,0.8893049955368042,1090
,4400,,3808,110,132.19423149,3.04,1,,,,,,,,,,,
5.0,4440,115.5384521484375,,,,,,0.0003,0.11493468284606934,-3.8960414230823517,-0.011964670322486182,7380.309280395508,0.2700000055134296,3647.10888671875,0.2,0.0117527675,0.8895740509033203,1100
,4440,,3832,111,140.47142834,3.1,1,,,,,,,,,,,
5.0,4480,208.6204776763916,,,,,,0.0003,0.09470224380493164,-3.891726550459862,-0.013390883108077123,10944.28233795166,0.3950000092387199,5642.17431640625,0.2,0.022632733,0.8874158263206482,1110
,4480,,3852,112,137.07257117,3.13,1,,,,,,,,,,,
5.0,4520,239.07341766357422,,,,,,0.0003,0.1090962290763855,-3.8867447435855866,-0.008674585495100473,3561.612455749512,0.38750000931322576,2683.2275390625,0.2,0.035444137,0.8865534067153931,1120
,4520,,3872,113,135.38090356000004,3.21,1,,,,,,,,,,,
5.0,4560,-7.875045299530029,,,,,,0.0003,0.273389995098114,-3.877771931886673,-0.007177305850091198,4461.15698928833,0.28750000689178706,1447.2244873046875,0.2,0.014198393,0.8816156387329102,1130
,4560,,3889,114,138.56735195,3.32,1,,,,,,,,,,,
