eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/clip_range,train/learning_rate,train/loss,train/approx_kl,,,
77.73482895,2960,5,,,,,,10477.95544,-4.183300972,73,0.034504354,0.025,-0.003710308,0.975895286,0.2,0.0003,1055.471802,0.001395777,,,
,2960,,3548,0,74,65.55935287,2.53,,,,,,,,,,,,,,
128.816185,3000,5,,,,,,3454.289825,-4.18206495,74,-0.033774257,0,0.00101911,0.975572228,0.2,0.0003,1010.002197,0.002012023,,,
,3000,,3574,0,75,68.77135101,2.54,,,,,,,,,,,,,,
-10,3040,2,,,,,,12247.21747,-4.181192636,75,-0.015447497,0,0.001594021,0.975331664,0.2,0.0003,8003.099609,0.000420779,,,
,3040,,3599,0,76,63.62575734,2.52,,,,,,,,,,,,,,
264.3481026,3080,5,,,,,,4466.638397,-4.180671811,76,-0.010118365,0,0.001089199,0.975206852,0.2,0.0003,1756.141357,7.40E-05,,,
,3080,,3623,0,77,72.0113271,2.54,,,,,,,,,,,,,,
209.2994289,3120,4,,,,,,23795.55832,-4.180410385,77,-0.026471257,0,-0.00691827,0.975242794,0.2,0.0003,5872.408691,0.000381587,,,
,3120,,3648,0,78,75.96890456,2.5,,,,,,,,,,,,,,
-5,3160,1,,,,,,19898.00714,-4.180559754,78,0.012669265,0,0.004151836,0.975232542,0.2,0.0003,5155.040039,0.000214306,,,
,3160,,3674,0,79,76.06568798,2.5,,,,,,,,,,,,,,
-5,3200,1,,,,,,4894.148178,-4.180750787,79,-0.031332254,0,-0.000103171,0.975366056,0.2,0.0003,1497.209473,0.000385205,,,
,3200,,3695,0,80,80.59865292,2.48,,,,,,,,,,,,,,
176.6538162,3240,4,,,,,,32996.54974,-4.180863678,80,0.000416696,0,-0.000773542,0.97532177,0.2,0.0003,32910.63672,0.000166155,,,
,3240,,3718,0,81,93.24535175,2.63,,,,,,,,,,,,,,
352.1473465,3280,5,,,,,,10811.21382,-4.180693805,81,0.004901707,0,-0.002625542,0.975290656,0.2,0.0003,867.3345947,9.06E-05,,,
,3280,,3744,0,82,87.88497099,2.52,,,,,,,,,,,,,,
-5,3320,1,,,,,,10920.62566,-4.180731237,82,-0.019588113,0.025,-0.003545751,0.975331962,0.2,0.0003,14029.54004,0.002824646,,,
,3320,,3795,0,83,86.37658814,2.53,,,,,,,,,,,,,,
202.0795212,3360,3,,,,,,7295.107758,-4.180788875,83,-0.02735734,0,-0.006277892,0.975331903,0.2,0.0003,2117.597168,0.000593273,,,
,3360,,3815,0,84,82.03399902,2.53,,,,,,,,,,,,,,
191.4142151,3400,3,,,,,,11932.52368,-4.180703163,84,0.021716952,0,-0.002303707,0.97531426,0.2,0.0003,3358.872314,0.000209604,,,
,3400,,3871,0,85,85.57632495,2.53,,,,,,,,,,,,,,
88.89474261,3440,5,,,,,,6422.642609,-4.18084085,85,0.014828265,0,-0.00082483,0.975395858,0.2,0.0003,5069.70752,0.000609577,,,
,3440,,3917,0,86,90.03778489,2.59,,,,,,,,,,,,,,
232.9455299,3480,5,,,,,,7140.322769,-4.181156456,86,-0.00502193,0,-0.005321501,0.975532472,0.2,0.0003,6030.07373,0.000208434,,,
,3480,,3946,0,87,83.86907149,2.61,,,,,,,,,,,,,,
65.21499848,3520,5,,,,,,8249.84024,-4.181390405,87,-0.018240809,0,-0.001321432,0.975562453,0.2,0.0003,4996.60791,0.000208671,,,
,3520,,4004,0,88,86.65974272,2.59,,,,,,,,,,,,,,
