eval/mean_reward,eval/mean_ep_length,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/n_updates
68.51858520507812,2.0,3360,,,,,,8509.833210754394,-0.009947483904470556,0.2,0.034855425357818604,0.019750677,0.9179309606552124,0.06750000100582838,0.0003,5775.66259765625,-3.9877403646707537,830
,,3360,0,4304,84,3.15,132.03601897000001,,,,,,,,,,,
-5.0,1.0,3400,,,,,,11719.525106811523,-0.0010202610373835296,0.2,0.05361366271972656,0.011838949,0.9173517227172852,0.12250000219792127,0.0003,3539.732421875,-3.989151209592819,840
,,3400,0,4327,85,3.05,122.34821145000002,,,,,,,,,,,
189.0269374847412,5.0,3440,,,,,,5870.914008712769,-0.013197063976258505,0.2,0.08027344942092896,0.0041419957,0.9144091606140137,0.16250000335276127,0.0003,2706.82666015625,-3.983451080322266,850
,,3440,0,4349,86,2.96,109.52044461,,,,,,,,,,,
118.04487609863281,3.0,3480,,,,,,7376.948593139648,-0.019351602542738,0.2,0.09237194061279297,0.019613001,0.9107982516288757,0.15000000260770321,0.0003,5699.72509765625,-3.9713116705417635,860
,,3480,0,4387,87,2.91,117.63191361000001,,,,,,,,,,,
447.7513847351074,5.0,3520,,,,,,9433.64575805664,-0.012587862914697334,0.2,0.043063580989837646,0.02950383,0.909751296043396,0.14500000309199096,0.0003,2708.82421875,-3.9631862193346024,870
,,3520,0,4414,88,2.86,117.81417513999999,,,,,,,,,,,
188.7544288635254,5.0,3560,,,,,,10576.079167938233,-0.02458171197184127,0.2,-0.06614899635314941,0.009804882,0.9076352119445801,0.24000000562518836,0.0003,3935.72021484375,-3.958426496386528,880
,,3560,0,4434,89,2.75,110.08336575999999,,,,,,,,,,,
292.5333137512207,5.0,3600,,,,,,5703.41803894043,-0.010996576992147311,0.2,0.10505318641662598,0.012919815,0.9032167196273804,0.18000000361353158,0.0003,3077.738525390625,-3.94679117500782,890
,,3600,0,4458,90,2.77,119.28925172999999,,,,,,,,,,,
484.04407501220703,5.0,3640,,,,,,24790.190844726563,-0.021031875585813386,0.2,-0.0054776668548583984,0.011777837,0.9018634557723999,0.23250000588595868,0.0003,20905.408203125,-3.936145704984665,900
,,3640,0,4506,91,2.8,122.92965499000003,,,,,,,,,,,
60.20501744747162,5.0,3680,,,,,,12640.470080566407,-0.014186689519374341,0.2,0.02712935209274292,0.009400904,0.903307318687439,0.13000000212341548,0.0003,3865.030517578125,-3.9355186015367507,910
,,3680,0,4530,92,2.8,123.13867314,,,,,,,,,,,
382.4093017578125,5.0,3720,,,,,,12030.121508789063,-0.026270559200793287,0.2,0.10542482137680054,0.05376397,0.9036604762077332,0.34000000786036255,0.0003,2362.333740234375,-3.9403782159090044,920
,,3720,0,4706,93,2.68,116.10155922999998,,,,,,,,,,,
43.40208435058594,2.0,3760,,,,,,13655.944082641601,-0.016712605510765588,0.2,0.007650852203369141,0.03520242,0.9031296968460083,0.3050000065937638,0.0003,6951.03466796875,-3.9379670321941376,930
,,3760,0,4735,94,2.62,112.90110807,,,,,,,,,,,
187.55326080322266,3.0,3800,,,,,,12982.706088256837,-0.039730950644261576,0.2,-0.0823678970336914,0.029058073,0.9026278257369995,0.2525000056251884,0.0003,15211.2607421875,-3.936143106222153,940
,,3800,0,4807,95,2.69,117.31850614,,,,,,,,,,,
-5.0,1.0,3840,,,,,,10621.136154174805,-0.016059916087033343,0.2,0.0704350471496582,0.018061642,0.8987957239151001,0.2700000055134296,0.0003,8785.5595703125,-3.9296163082122804,950
,,3840,0,4861,96,2.72,119.5154802,,,,,,,,,,,
39.31113815307617,2.0,3880,,,,,,9068.62933807373,0.09726848263933789,0.2,0.1171727180480957,0.034104183,0.8980247378349304,0.5775000095367432,0.0003,3582.309814453125,-3.9214456498622896,960
,,3880,0,4905,97,2.64,104.55878450999998,,,,,,,,,,,
110.18624210357666,5.0,3920,,,,,,7100.427969360351,-0.007498034424861544,0.2,-0.0005828142166137695,0.027999524,0.89658522605896,0.2000000048428774,0.0003,4663.1962890625,-3.9175514072179793,970
,,3920,0,4931,98,2.59,102.79086670999999,,,,,,,,,,,
335.4290542602539,5.0,3960,,,,,,16363.142337036134,-0.0115371972713865,0.2,0.06314849853515625,0.014030379,0.8947781324386597,0.10750000178813934,0.0003,9026.76171875,-3.9123040407896044,980
,,3960,0,4960,99,2.64,106.39397026000002,,,,,,,,,,,
254.32133674621582,5.0,4000,,,,,,17834.917581176756,-0.01297425909286174,0.2,0.018410444259643555,0.014205389,0.8948104381561279,0.14750000257045032,0.0003,9416.05078125,-3.9080137997865676,990
,,4000,0,4994,100,2.73,113.60638235,,,,,,,,,,,
144.30745315551758,5.0,4040,,,,,,10594.382998657227,-0.03143599496914703,0.2,-0.014869332313537598,0.022294182,0.8904774188995361,0.20250000432133675,0.0003,3376.649658203125,-3.902043330669403,1000
,,4040,0,5023,101,2.78,116.50710834,,,,,,,,,,,
133.78005981445312,3.0,4080,,,,,,10863.911380004884,-0.02013226993156423,0.2,-0.09502458572387695,0.011285784,0.8864270448684692,0.16750000286847352,0.0003,9351.14453125,-3.8872425079345705,1010
,,4080,0,5048,102,2.82,111.74373547,,,,,,,,,,,
120.71448540687561,5.0,4120,,,,,,9288.6422706604,-0.02164913232176331,0.2,-0.03547072410583496,0.022441264,0.8844722509384155,0.34000000804662706,0.0003,2305.737548828125,-3.876883774995804,1020
,,4120,0,5073,103,2.79,109.85833047,,,,,,,,,,,
323.65909576416016,5.0,4160,,,,,,7278.286552429199,-0.0279817805851053,0.2,0.0940483808517456,0.015730396,0.88381028175354,0.17250000312924385,0.0003,324.4902038574219,-3.8721321374177933,1030
,,4160,0,5300,104,3.0,127.93303651000001,,,,,,,,,,,
356.02696228027344,5.0,4200,,,,,,15531.954138183593,-0.022803017353289757,0.2,0.03700357675552368,0.014785862,0.8841544985771179,0.4975000100210309,0.0003,11892.5654296875,-3.8716363459825516,1040
,,4200,0,5483,105,3.04,131.50214134,,,,,,,,,,,
26.297977447509766,5.0,4240,,,,,,13480.249401855468,-0.015124626330577939,0.2,0.041619837284088135,0.017669268,0.8847683668136597,0.17500000428408385,0.0003,7130.0810546875,-3.8735106855630876,1050
,,4240,0,5570,106,2.98,126.26406906999999,,,,,,,,,,,
-5.0,1.0,4280,,,,,,11567.750650024414,-0.03772594265567022,0.2,0.010540485382080078,0.017419755,0.8826620578765869,0.3400000071153045,0.0003,6030.916015625,-3.870072680711746,1060
,,4280,0,5598,107,2.96,128.05623563999998,,,,,,,,,,,
-5.0,1.0,4320,,,,,,13372.803692626952,-0.02397536685231898,0.2,0.017392277717590332,0.034728505,0.8818874359130859,0.2700000051409006,0.0003,5277.68896484375,-3.865949696302414,1070
,,4320,0,5696,108,2.93,127.2576275,,,,,,,,,,,
65.8576889038086,2.0,4360,,,,,,8264.227755737305,-0.0023452083294978276,0.2,0.09345060586929321,0.021220483,0.8798639178276062,0.2575000060722232,0.0003,1504.9383544921875,-3.862684613466263,1080
,,4360,0,5829,109,2.94,130.99819968000003,,,,,,,,,,,
71.32705688476562,2.0,4400,,,,,,9526.43727722168,-0.038196592691529085,0.2,-0.02017831802368164,0.03732461,0.8808967471122742,0.38250000942498447,0.0003,4044.427978515625,-3.858977821469307,1090
,,4400,0,5849,110,3.05,140.70481137000002,,,,,,,,,,,
84.3893051147461,4.0,4440,,,,,,12551.276608276366,-0.004490636021660066,0.2,0.10659444332122803,0.025589086,0.8803112506866455,0.2175000049173832,0.0003,5725.26025390625,-3.8582275927066805,1100
,,4440,0,5878,111,2.98,138.39847059,,,,,,,,,,,
77.40558624267578,2.0,4480,,,,,,10129.390982055664,-0.009545391842984818,0.2,0.011065959930419922,0.007827614,0.8781716227531433,0.21750000435858965,0.0003,4251.45361328125,-3.8540641754865645,1110
,,4480,0,5900,112,2.95,132.61816992000004,,,,,,,,,,,
47.371463775634766,3.0,4520,,,,,,11401.412463378907,-0.0295727892236755,0.2,0.106106698513031,0.032059766,0.8757385015487671,0.22500000428408384,0.0003,6624.66650390625,-3.84634453356266,1120
,,4520,0,5931,113,2.9,126.60143055999998,,,,,,,,,,,
301.2788887023926,5.0,4560,,,,,,6828.154453277588,-0.01008022503105167,0.2,-0.034329891204833984,0.022996608,0.8738996386528015,0.1675000036135316,0.0003,6402.94775390625,-3.8399344205856325,1130
,,4560,0,5957,114,2.84,119.33691043999997,,,,,,,,,,,
24.201602935791016,2.0,4600,,,,,,7225.0045516967775,-0.006605050667421897,0.2,-0.07644820213317871,0.012772067,0.8727844953536987,0.21500000469386576,0.0003,2775.384765625,-3.834162652492523,1140
,,4600,0,5988,115,2.88,121.39569306,,,,,,,,,,,
360.38940048217773,5.0,4640,,,,,,13914.531777954102,-0.007100967444275741,0.2,-0.00847923755645752,0.014692375,0.8736042976379395,0.29000000581145285,0.0003,7408.5224609375,-3.8349734127521513,1150
,,4640,0,6019,116,2.98,127.71363581,,,,,,,,,,,
156.0845832824707,5.0,4680,,,,,,9132.733529663086,-0.049181489753682396,0.2,-0.03544878959655762,0.042207353,0.8742162585258484,0.4600000113248825,0.0003,12983.287109375,-3.8350923359394073,1160
,,4680,0,6078,117,3.04,126.63041926000001,,,,,,,,,,,
447.6064910888672,5.0,4720,,,,,,9570.012766265869,-0.03192262799864694,0.2,0.02221149206161499,0.028678656,0.8732171058654785,0.25500000528991223,0.0003,2426.9375,-3.8330572605133058,1170
,,4720,0,6118,118,2.92,117.92899500000001,,,,,,,,,,,
327.156156539917,5.0,4760,,,,,,17443.62085723877,-0.031659595826640796,0.2,0.037321269512176514,0.023174591,0.8720495104789734,0.18250000346451997,0.0003,2990.27001953125,-3.8301810771226883,1180
,,4760,0,6141,119,2.92,119.76514821,,,,,,,,,,,
92.1285171508789,2.0,4800,,,,,,14590.843692016602,-0.01974318208231125,0.2,-0.0642399787902832,0.03544447,0.8662209510803223,0.22250000424683095,0.0003,3636.29736328125,-3.820432922244072,1190
,,4800,0,6161,120,2.87,120.875389,,,,,,,,,,,
44.80393981933594,2.0,4840,,,,,,13993.040350341797,-0.03139590301958378,0.2,-0.026403069496154785,0.056182284,0.8643292784690857,0.40500000920146706,0.0003,4557.46142578125,-3.8033144205808638,1200
,,4840,0,6184,121,3.02,133.4024852,,,,,,,,,,,
89.04668426513672,2.0,4880,,,,,,12073.274862670898,0.0037684887508430574,0.2,0.06736487150192261,0.03906452,0.8594256639480591,0.2950000071898103,0.0003,9046.7314453125,-3.7934557020664217,1210
,,4880,0,6204,122,3.11,140.29119751,,,,,,,,,,,
203.66390419006348,5.0,4920,,,,,,8817.327423095703,-0.004298775989009296,0.2,0.013308823108673096,0.051539987,0.8570834398269653,0.42250001020729544,0.0003,3158.7333984375,-3.778702512383461,1220
,,4920,0,6251,123,3.03,132.97037131,,,,,,,,,,,
-5.0,1.0,4960,,,,,,15412.64606628418,-0.038296026723110124,0.2,0.0914376974105835,0.0248449,0.8563417196273804,0.3300000071525574,0.0003,11894.654296875,-3.773765555024147,1230
,,4960,0,6310,124,3.06,140.62411696,,,,,,,,,,,
68.51064682006836,4.0,5000,,,,,,9639.164012145997,-0.012655545576253636,0.2,0.05526858568191528,0.014164855,0.8525463342666626,0.2950000070035458,0.0003,10315.49609375,-3.7669950783252717,1240
,,5000,0,6332,125,3.15,150.60523055,,,,,,,,,,,
454.3532485961914,5.0,5040,,,,,,11338.031232452393,-0.03171418468722549,0.2,0.07378125190734863,0.0297888,0.8504855036735535,0.3000000063329935,0.0003,345.8067321777344,-3.7550217896699905,1250
,,5040,0,6354,126,3.26,161.39144163999998,,,,,,,,,,,
452.80401611328125,5.0,5080,,,,,,14085.96163444519,0.036738332211098165,0.2,0.050116002559661865,0.119591065,0.8479525446891785,0.5875000121071935,0.0003,7531.07421875,-3.7482043623924257,1260
,,5080,0,6383,127,3.25,156.50825684999998,,,,,,,,,,,
50.17411994934082,3.0,5120,,,,,,14496.162588500976,-0.03020379225465151,0.2,-0.07302820682525635,0.031142011,0.8461107015609741,0.2400000050663948,0.0003,6090.240234375,-3.7403118520975114,1270
,,5120,0,6569,128,3.32,161.54820432999998,,,,,,,,,,,
269.7725944519043,5.0,5160,,,,,,10386.291674804688,-0.02599972697003977,0.2,-0.011355996131896973,0.029447794,0.8458108305931091,0.20750000402331353,0.0003,6570.625,-3.7368674635887147,1280
,,5160,0,6591,129,3.36,162.07356341000002,,,,,,,,,,,
133.68768310546875,5.0,5200,,,,,,15788.59185333252,0.010491106570589182,0.2,-0.0012551546096801758,0.0090038795,0.8450950980186462,0.3475000083446503,0.0003,4396.06640625,-3.7328265815973283,1290
,,5200,0,6641,130,3.4,159.40368482000002,,,,,,,,,,,
318.80553817749023,5.0,5240,,,,,,7895.469131469727,-0.00605023335228907,0.2,0.04793739318847656,0.020182261,0.8416850566864014,0.17750000339001418,0.0003,4690.3837890625,-3.726139959692955,1300
,,5240,0,6665,131,3.35,155.44106615,,,,,,,,,,,
475.8895606994629,5.0,5280,,,,,,13790.876179504394,-0.02282475973246618,0.2,0.05463021993637085,0.02923387,0.8438806533813477,0.25500000547617674,0.0003,7881.0556640625,-3.7223775655031206,1310
,,5280,0,6683,132,3.31,154.70641014,,,,,,,,,,,
397.7833709716797,5.0,5320,,,,,,21787.758987426758,-0.02922783453639568,0.2,-0.046103715896606445,0.09112403,0.8440739512443542,0.3625000098720193,0.0003,12906.724609375,-3.727466031908989,1320
,,5320,0,6703,133,3.36,160.71338095,,,,,,,,,,,
142.31885528564453,3.0,5360,,,,,,12153.237524414062,-0.0115131551228842,0.2,0.08821046352386475,0.011742776,0.8429327011108398,0.1400000024586916,0.0003,1833.2689208984375,-3.7218270123004915,1330
,,5360,0,6726,134,3.21,149.81195893999998,,,,,,,,,,,
387.53731536865234,5.0,5400,,,,,,14192.123004150391,-0.026089961393736306,0.2,-0.007865548133850098,0.044574738,0.8411086797714233,0.22500000447034835,0.0003,10714.3408203125,-3.7159848749637603,1340
,,5400,0,6749,135,3.37,167.33011945,,,,,,,,,,,
361.79299545288086,5.0,5440,,,,,,14355.790390014648,-0.02985212382380269,0.2,0.011156618595123291,0.007637796,0.8400506377220154,0.13250000197440387,0.0003,8791.103515625,-3.7083628326654434,1350
,,5440,0,6769,136,3.41,167.72939601000002,,,,,,,,,,,
421.2088203430176,5.0,5480,,,,,,12187.236016845703,-0.02189274982840288,0.2,0.03100651502609253,0.023943154,0.8376042246818542,0.19500000402331352,0.0003,2588.18505859375,-3.702363657951355,1360
,,5480,0,6789,137,3.45,175.1289365,,,,,,,,,,,
265.17723512649536,5.0,5520,,,,,,10462.939999389648,-0.015063463305732517,0.2,0.07218647003173828,0.04248388,0.8337604403495789,0.28000000584870577,0.0003,9030.0166015625,-3.6889090865850447,1370
,,5520,0,6933,138,3.5,177.67522688,,,,,,,,,,,
286.9470405578613,5.0,5560,,,,,,12076.897981262207,-0.038253733181622916,0.2,0.040897905826568604,0.030238684,0.8331159949302673,0.3000000076368451,0.0003,4704.40380859375,-3.6806792676448823,1380
,,5560,0,6954,139,3.54,188.99415012999998,,,,,,,,,,,
381.7810516357422,5.0,5600,,,,,,15169.840032958984,0.007914981810317846,0.2,-0.0065757036209106445,0.015958995,0.8305834531784058,0.15250000283122062,0.0003,6184.07763671875,-3.6745061606168745,1390
,,5600,0,7005,140,3.65,197.35396990999993,,,,,,,,,,,
164.9266471862793,5.0,5640,,,,,,12442.751345825196,-0.008436503930415706,0.2,0.0001703500747680664,0.032917216,0.830056369304657,0.14250000230968,0.0003,10729.603515625,-3.66920465528965,1400
,,5640,0,7028,141,3.69,194.18863198,,,,,,,,,,,
361.07251358032227,5.0,5680,,,,,,10781.96036376953,-0.01132834669097974,0.2,0.10722213983535767,0.021901693,0.8295533657073975,0.15500000305473804,0.0003,3365.877685546875,-3.6668774753808977,1410
,,5680,0,7047,142,3.67,193.67669049000003,,,,,,,,,,,
85.72887802124023,3.0,5720,,,,,,15515.152166748047,-0.02273876639737864,0.2,0.040260910987854004,0.010126514,0.8303331136703491,0.16250000335276127,0.0003,7176.37060546875,-3.6657593071460726,1420
,,5720,0,7230,143,3.75,194.66442578000002,,,,,,,,,,,
203.56938409805298,5.0,5760,,,,,,9772.963316345214,-0.024694443110711294,0.2,-0.1824204921722412,0.01870824,0.8284977674484253,0.18500000406056644,0.0003,5135.59423828125,-3.6632349282503127,1430
,,5760,0,7287,144,3.78,194.88218154999998,,,,,,,,,,,
196.5684518814087,5.0,5800,,,,,,8919.240682983398,-0.009419465199607657,0.2,0.12616366147994995,0.025908612,0.8283700346946716,0.3400000067427754,0.0003,1838.041015625,-3.659154784679413,1440
,,5800,0,7310,145,3.76,191.84663812,,,,,,,,,,,
438.4760208129883,5.0,5840,,,,,,12894.291247558594,-0.03157820784574143,0.2,-0.0029894113540649414,0.0097813355,0.8287429809570312,0.20250000432133675,0.0003,9609.8564453125,-3.6588930010795595,1450
,,5840,0,7328,146,3.71,188.04220341999996,,,,,,,,,,,
-5.0,1.0,5880,,,,,,11867.856704711914,-0.01903601192392671,0.2,0.03446316719055176,0.026042018,0.8264245986938477,0.2900000074878335,0.0003,8775.8857421875,-3.6555528074502943,1460
,,5880,0,7347,147,3.66,183.27421775000002,,,,,,,,,,,
320.1098976135254,5.0,5920,,,,,,8801.702574157714,-0.015192923156155303,0.2,0.11102515459060669,0.022640932,0.8274611830711365,0.17500000316649675,0.0003,3856.2236328125,-3.652646893262863,1470
,,5920,0,7366,148,3.57,172.82675002000008,,,,,,,,,,,
313.7793655395508,5.0,5960,,,,,,11744.697554016113,-0.025615693841391472,0.2,-0.0295335054397583,0.030347595,0.8260905146598816,0.30000000521540643,0.0003,2548.941162109375,-3.651663637161255,1480
,,5960,0,7383,149,3.53,170.35295426000002,,,,,,,,,,,
150.7704315185547,3.0,6000,,,,,,10887.138298034668,0.007199367408175017,0.2,0.054023802280426025,0.017482556,0.8266229033470154,0.2950000064447522,0.0003,8090.4931640625,-3.6480172872543335,1490
,,6000,0,7398,150,3.61,173.41312495,,,,,,,,,,,
60.858543395996094,2.0,6040,,,,,,10441.972541809082,-0.008137206607934789,0.2,0.1522260308265686,0.16147363,0.8225908279418945,0.3525000084191561,0.0003,2583.879150390625,-3.6424073725938797,1500
,,6040,0,7418,151,3.52,162.6436228,,,,,,,,,,,
266.8783149719238,5.0,6080,,,,,,9115.386505889892,-0.02386905553583345,0.2,-0.03161168098449707,0.014285197,0.8219889402389526,0.2825000062584877,0.0003,9095.0205078125,-3.6295369148254393,1510
,,6080,0,7439,152,3.43,162.48144014000002,,,,,,,,,,,
139.11592864990234,3.0,6120,,,,,,10331.04239654541,-0.012339026342524484,0.2,-0.028227925300598145,0.015265243,0.8178891539573669,0.20500000435858964,0.0003,4123.05615234375,-3.6221967577934264,1520
,,6120,0,7459,153,3.48,164.70627853999997,,,,,,,,,,,
-5.0,1.0,6160,,,,,,12255.13796081543,-0.019971821777871844,0.2,0.08344894647598267,0.010051284,0.8156627416610718,0.15750000309199094,0.0003,11243.47265625,-3.6085163980722426,1530
,,6160,0,7474,154,3.5,168.04131288999997,,,,,,,,,,,
244.24785828590393,5.0,6200,,,,,,17580.989205932616,-0.001281777674448681,0.2,0.10237324237823486,0.006188655,0.8143483996391296,0.20250000450760125,0.0003,7034.08837890625,-3.599512967467308,1540
,,6200,0,7492,155,3.57,173.78717986,,,,,,,,,,,
163.8337860107422,4.0,6240,,,,,,14399.31340637207,-0.014486006299794085,0.2,0.07098489999771118,0.007121918,0.813308596611023,0.2050000039860606,0.0003,8317.7685546875,-3.5968715518713,1550
,,6240,0,7511,156,3.6,180.31271329,,,,,,,,,,,
451.738037109375,5.0,6280,,,,,,14305.365264892578,0.009195398165320511,0.2,0.10605967044830322,0.027789805,0.809843897819519,0.38000000808387996,0.0003,9072.0625,-3.5869361251592635,1560
,,6280,0,7533,157,3.74,191.15561333000005,,,,,,,,,,,
381.72745513916016,5.0,6320,,,,,,8874.739051818848,-0.023681047653661837,0.2,0.14093035459518433,0.019059153,0.8084535002708435,0.28500000610947607,0.0003,6306.9755859375,-3.5783910781145094,1570
,,6320,0,7579,158,3.79,200.05263389000007,,,,,,,,,,,
295.24023056030273,5.0,6360,,,,,,12383.497834396363,-0.025224265626311537,0.2,-0.008011341094970703,0.020047568,0.8073703646659851,0.3000000067055225,0.0003,8410.2373046875,-3.573169392347336,1580
,,6360,0,7596,159,3.66,196.94696453,,,,,,,,,,,
361.15351486206055,5.0,6400,,,,,,15996.799951171875,-0.0230305349263654,0.2,-0.09182989597320557,0.034656826,0.803932785987854,0.2400000050663948,0.0003,4631.30078125,-3.5645900428295136,1590
,,6400,0,7612,160,3.73,203.15366502000003,,,,,,,,,,,
306.4646325111389,5.0,6440,,,,,,10732.342840576172,-0.028587375822680772,0.2,0.06242305040359497,0.038367823,0.8010103106498718,0.2300000051036477,0.0003,6690.8701171875,-3.5521526485681534,1600
,,6440,0,7634,161,3.76,206.89371632,,,,,,,,,,,
440.8749542236328,5.0,6480,,,,,,16747.47561340332,-0.01733767293553683,0.2,0.07688671350479126,0.024110593,0.7994453310966492,0.20750000402331353,0.0003,2949.635498046875,-3.5435861378908156,1610
,,6480,0,7658,162,3.66,203.53242328,,,,,,,,,,,
187.55507850646973,5.0,6520,,,,,,14763.172906494141,-0.0455107444539317,0.2,-0.050866007804870605,0.036084823,0.7975947260856628,0.4275000087916851,0.0003,4855.37646484375,-3.5365047603845596,1620
,,6520,0,7703,163,3.65,200.50832035000002,,,,,,,,,,,
273.8252811431885,5.0,6560,,,,,,12992.868466186523,-0.02592751737538492,0.2,0.12159425020217896,0.055498578,0.7978018522262573,0.3225000064820051,0.0003,5977.2470703125,-3.532263880968094,1630
,,6560,0,7761,164,3.7,204.77467549000002,,,,,,,,,,,
