time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,train/n_updates
2600,418.4897117614746,5.0,,,,,,0.21250000465661287,-0.0689476728439331,0.0003,-0.03549473922830657,7949.783075714111,10212.400390625,-4.086258560419083,0.025641236,0.9473059177398682,0.2,640
2600,,,65,0,2.78,3215,87.43805007,,,,,,,,,,,
2640,174.76014709472656,5.0,,,,,,0.19250000417232513,-0.02116847038269043,0.0003,-0.013804094593433546,17700.113064575195,2194.285888671875,-4.087966465950013,0.019918317,0.9480698108673096,0.2,650
2640,,,66,0,2.82,3241,90.50134161,,,,,,,,,,,
2680,284.1177177429199,5.0,,,,,,0.17500000335276128,-0.021603941917419434,0.0003,-0.018355918939359984,6510.416326141358,2999.586669921875,-4.089489990472794,0.014410326,0.9480001330375671,0.2,660
2680,,,67,0,2.84,3273,94.35038821999999,,,,,,,,,,,
2720,283.68523025512695,5.0,,,,,,0.11000000163912774,-0.03656172752380371,0.0003,-0.008721472506877026,15565.226112365723,6389.01025390625,-4.087910944223404,0.007322738,0.9474801421165466,0.2,670
2720,,,68,0,2.85,3298,97.39555305,,,,,,,,,,,
2760,227.40355491638184,4.0,,,,,,0.16250000316649676,-0.020750880241394043,0.0003,-0.015740748012394758,8642.350495910645,2075.50830078125,-4.0864367425441745,0.013319698,0.9470703601837158,0.2,680
2760,,,69,0,2.87,3328,97.49016158000002,,,,,,,,,,,
2800,200.06978225708008,5.0,,,,,,0.11000000182539224,-0.04000580310821533,0.0003,0.0018312462442554578,5047.102778625488,2278.256103515625,-4.08239471912384,0.009268413,0.9449087977409363,0.2,690
2800,,,70,0,2.79,3364,91.86643120999999,,,,,,,,,,,
2840,516.5085678100586,5.0,,,,,,0.16000000350177288,-0.0317995548248291,0.0003,-0.010956377847178378,6023.481536865234,4824.36279296875,-4.0768831968307495,0.009305651,0.9438266158103943,0.2,700
2840,,,71,0,2.86,3387,100.38927968999998,,,,,,,,,,,
2880,161.34283447265625,3.0,,,,,,0.15750000309199094,0.007322490215301514,0.0003,-0.02207237638591324,13685.767059326172,6498.8076171875,-4.0750064432621,0.01666822,0.9436635971069336,0.2,710
2880,,,72,0,2.88,3417,99.29087873,,,,,,,,,,,
2920,-4.97347997315228,2.0,,,,,,0.247500004991889,0.010486364364624023,0.0003,-0.022234446365364424,11154.28832244873,5632.95458984375,-4.073865741491318,0.024022428,0.9431383013725281,0.2,720
2920,,,73,0,2.92,3436,100.35767532000001,,,,,,,,,,,
2960,189.48828506469727,4.0,,,,,,0.16750000305473806,-0.022176265716552734,0.0003,-0.012239262374059746,5486.470869255066,3220.162109375,-4.074594587087631,0.023956891,0.9441896677017212,0.2,730
2960,,,74,0,3.09,3457,108.31400163,,,,,,,,,,,
3000,65.51994895935059,5.0,,,,,,0.11000000201165676,0.02600497007369995,0.0003,-0.0025870147554087454,7672.858006286621,3313.95263671875,-4.07690839767456,0.009924833,0.9445935487747192,0.2,740
3000,,,75,0,3.1,3508,105.10599593,,,,,,,,,,,
3040,46.47646760940552,5.0,,,,,,0.19500000402331352,-0.025858163833618164,0.0003,-0.03443281394647783,8257.352569580078,1012.87548828125,-4.07504311800003,0.014833322,0.9430669546127319,0.2,750
3040,,,76,0,3.08,3560,102.28873864999997,,,,,,,,,,,
3080,336.75666522979736,5.0,,,,,,0.020000000298023225,-0.029290199279785156,0.0003,-0.008164382615204867,4372.463338851929,1119.8677978515625,-4.071903002262116,0.005332129,0.9431672096252441,0.2,760
3080,,,77,0,3.24,3637,110.39598861999998,,,,,,,,,,,
3120,83.3958842754364,5.0,,,,,,0.022500000335276125,-0.017522573471069336,0.0003,-0.007646460572777869,12741.253540039062,10287.4541015625,-4.072868376970291,0.006924528,0.9434301257133484,0.2,770
3120,,,78,0,3.33,3665,114.2021508,,,,,,,,,,,
3160,312.3111696243286,5.0,,,,,,0.28750000707805157,-0.023473501205444336,0.0003,-0.021960870568800583,7721.3099025726315,2203.6435546875,-4.074619251489639,0.021889117,0.9447401762008667,0.2,780
3160,,,79,0,3.31,3690,109.26954774000002,,,,,,,,,,,
3200,275.60211181640625,5.0,,,,,,0.12000000178813934,0.020339131355285645,0.0003,-0.008374605580029315,11747.47851409912,2208.534912109375,-4.074513292312622,0.00712855,0.9428598880767822,0.2,790
3200,,,80,0,3.4,3715,116.82428488,,,,,,,,,,,
3240,550.0879135131836,5.0,,,,,,0.27000000700354576,0.05205035209655762,0.0003,0.0026023793055901523,18541.8946182251,10999.8408203125,-4.071544349193573,0.028222889,0.9428349733352661,0.2,800
3240,,,81,0,3.46,3737,114.40643385999999,,,,,,,,,,,
