time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
600,4126,-1.60636774,1.28,1297,0,,,26.280542373657227,1196,1.7795820236206055,0.001
604,4131,-3.83985046,1.27,1304,0,,,14.945904731750488,1203,1.0135420560836792,0.001
608,4236,-3.2692337100000004,1.3,1311,0,,,7.747247219085693,1210,2.915252685546875,0.001
612,4239,-3.2192337099999997,1.29,1315,0,,,12.057228088378906,1214,2.4237895011901855,0.001
616,4242,-3.1192337099999996,1.27,1319,0,,,4.808056831359863,1218,2.568955659866333,0.001
,,,,1320,,-5.0,1.0,26.004276275634766,1219,,0.001
620,4248,-3.1192337099999996,1.27,1323,0,,,5.6779327392578125,1222,2.9092979431152344,0.001
624,4251,-2.3159221399999996,1.3,1331,0,,,16.8951473236084,1226,2.1556103229522705,0.001
628,4254,-1.7265273999999997,1.32,1338,0,,,2291.408447265625,1234,1.809030532836914,0.001
632,4258,-1.6765274,1.31,1342,0,,,42.464088439941406,1241,1.7623379230499268,0.001
636,4314,-1.7265274,1.32,1348,0,,,4424.7666015625,1247,0.49860259890556335,0.001
640,4323,-0.8241798199999999,1.33,1353,0,,,50.89680862426758,1252,1.2775999307632446,0.001
,,,,1360,,50.20760726928711,3.0,45.75849914550781,1257,0.8129886984825134,0.001
644,4332,0.43009774,1.35,1360,0,,,,,,
648,4394,0.08009774000000021,1.42,1374,0,,,1168.6320266723633,1273,0.7821696642786264,0.001
652,4398,-0.7008968699999998,1.41,1378,0,,,37.991737365722656,1277,1.5325095653533936,0.001
656,4402,-0.90089687,1.45,1387,0,,,1164.6401023864746,1286,0.804000973701477,0.001
660,4407,-1.20089687,1.51,1397,0,,,30.719738006591797,1293,3.750206470489502,0.001
,,,,1400,,-20.0,4.0,593.1005969047546,1297,3.4788681268692017,0.001
664,4468,-1.50089687,1.57,1409,0,,,20.67819881439209,1308,6.20829963684082,0.001
668,4472,-1.70089687,1.61,1417,0,,,31.758604049682617,1316,6.970035552978516,0.001
672,4475,-1.8008968699999999,1.63,1424,0,,,7.991656303405762,1323,7.633031368255615,0.001
676,4480,-1.70089687,1.61,1428,0,,,3.978201389312744,1327,5.978280067443848,0.001
680,4483,-1.70089687,1.61,1432,0,,,15.880416870117188,1331,6.125424385070801,0.001
,,,,1440,,-5.0,1.0,6.471405982971191,1339,5.894514083862305,0.001
684,4490,-1.90089687,1.65,1440,0,,,,,,
688,4494,-2.05089687,1.68,1449,0,,,9.75294075012207,1347,7.1581597328186035,0.001
692,4498,-0.63950831,1.74,1459,0,,,4.844884634017944,1358,3.6657944917678833,0.001
696,4503,-0.63950831,1.74,1463,0,,,9.068782806396484,1362,3.9234015941619873,0.001
700,4507,-1.2106608,1.7,1467,0,,,1.506565809249878,1366,2.9256837368011475,0.001
704,4543,-1.9686632400000001,1.67,1471,0,,,8.218603134155273,1370,3.14276123046875,0.001
708,4547,-2.53927999,1.64,1475,0,,,2027.4189453125,1374,2.4125359058380127,0.001
,,,,1480,,-5.0,1.0,8.557371139526367,1379,2.557943820953369,0.001
712,4553,-2.58927999,1.65,1480,0,,,,,,
716,4556,-2.58927999,1.65,1484,0,,,14.849218368530273,1383,2.8167927265167236,0.001
720,4560,-2.73927999,1.68,1491,0,,,17.239917755126953,1389,1.678356409072876,0.001
724,4565,-3.6925915600000003,1.68,1499,0,,,26.435111045837402,1397,1.7612470388412476,0.001
728,4568,-4.2319863,1.65,1503,0,,,17.744686126708984,1402,2.0490286350250244,0.001
732,4595,-4.2819863,1.66,1508,0,,,13.625165939331055,1407,2.555753469467163,0.001
736,4600,-4.2819863,1.66,1514,0,,,4.945744514465332,1413,3.4312896728515625,0.001
740,4606,-5.234333879999999,1.66,1519,0,,,4.239112377166748,1418,3.804255723953247,0.001
,,,,1520,,-5.0,1.0,3.942736864089966,1419,,0.001
744,4613,-6.43861144,1.63,1523,0,,,2.8200912475585938,1422,4.180385589599609,0.001
748,4615,-5.93861144,1.53,1527,0,,,1.709679365158081,1426,4.560023784637451,0.001
752,4619,-5.93861144,1.53,1531,0,,,0.9622459411621094,1430,5.079196929931641,0.001
756,4622,-5.73861144,1.49,1536,0,,,1.1466052532196045,1434,4.811728477478027,0.001
760,4626,-5.43861144,1.43,1540,0,,,0.08860666304826736,1439,5.117298126220703,0.001
764,4629,-5.088611439999999,1.36,1545,0,,,0.5296664237976074,1444,5.046021461486816,0.001
768,4633,-4.88861144,1.32,1549,0,,,0.23662415146827698,1448,5.186131477355957,0.001
772,4636,-4.73861144,1.29,1553,0,,,0.06805606186389923,1452,5.108577728271484,0.001
776,4639,-4.7886114399999995,1.3,1558,0,,,0.2970457077026367,1457,5.324153423309326,0.001
,,,,1560,,-5.0,1.0,0.18213142454624176,1459,5.017346382141113,0.001
780,4647,-4.7886114399999995,1.3,1562,0,,,0.3945405185222626,1461,5.220656871795654,0.001
784,4652,-4.588611439999999,1.26,1566,0,,,0.2986341118812561,1465,5.1536946296691895,0.001
