eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/std,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/entropy_loss
320.2432498931885,6080,5.0,,,,,,0.8628973960876465,0.040038273,0.2,1510,0.0003,14455.028952026367,-0.0111203058216779,0.2525000054389238,16598.26171875,0.14372235536575317,-3.7753282696008683
,6080,,3.65,1,152,5811,199.83394041,,,,,,,,,,,
225.1966037750244,6120,5.0,,,,,,0.8614093661308289,0.02232122,0.2,1520,0.0003,7449.606388854981,-0.015350975719702542,0.18250000290572643,3436.244384765625,0.17384958267211914,-3.7697236001491548
,6120,,3.69,1,153,5833,202.60113998999998,,,,,,,,,,,
139.23739051818848,6160,5.0,,,,,,0.8600668907165527,0.022193752,0.2,1530,0.0003,20959.528939819334,-0.008696952155351023,0.13750000316649674,18943.98828125,0.016126692295074463,-3.762942114472389
,6160,,3.73,1,154,5852,203.22102331,,,,,,,,,,,
190.1602783203125,6200,3.0,,,,,,0.8596053123474121,0.030408498,0.2,1540,0.0003,6055.193836212158,-0.01047017703880555,0.3000000067055225,2522.840576171875,0.10328036546707153,-3.7602056562900543
,6200,,3.71,1,155,5873,199.99281207000004,,,,,,,,,,,
177.29248809814453,6240,3.0,,,,,,0.8577696084976196,0.015722575,0.2,1550,0.0003,11192.338767242432,0.00044514322580653244,0.10000000186264515,3851.15771484375,0.10389608144760132,-3.7571902126073837
,6240,,3.76,1,156,5894,204.51818221999997,,,,,,,,,,,
249.39715576171875,6280,3.0,,,,,,0.8538910746574402,0.020176796,0.2,1560,0.0003,17713.917922973633,0.0007529733516275838,0.16750000286847352,8133.294921875,0.07492941617965698,-3.7462440550327303
,6280,,3.68,1,157,5914,194.78854920999996,,,,,,,,,,,
133.9789924621582,6320,3.0,,,,,,0.852475643157959,0.022486119,0.2,1570,0.0003,8056.796881103515,-0.017134233836804923,0.3425000078976154,4983.15185546875,0.21304678916931152,-3.735814154148102
,6320,,3.7,1,158,5992,187.63339625,,,,,,,,,,,
193.47040939331055,6360,5.0,,,,,,0.8475691080093384,0.040497765,0.2,1580,0.0003,6819.825395202637,-0.008766885338700358,0.2775000061839819,2699.79638671875,0.16082942485809326,-3.7253438144922257
,6360,,3.82,1,159,6007,193.87672189,,,,,,,,,,,
254.71768760681152,6400,5.0,,,,,,0.8453433513641357,0.0106122065,0.2,1590,0.0003,7477.359962463379,-0.010919832005747598,0.09000000152736902,1244.4312744140625,0.025056838989257812,-3.7115603536367416
,6400,,3.69,1,160,6029,177.55272816999997,,,,,,,,,,,
233.79937744140625,6440,5.0,,,,,,0.8442973494529724,0.03340525,0.2,1600,0.0003,13065.219921875,-0.04964258430583868,0.37500000819563867,6342.388671875,0.09603023529052734,-3.7052900701761247
,6440,,3.68,1,161,6049,173.20112094999996,,,,,,,,,,,
104.67138671875,6480,2.0,,,,,,0.8467309474945068,0.021340188,0.2,1610,0.0003,7967.677146911621,-0.009044236426925634,0.16000000294297934,6015.0654296875,0.07537215948104858,-3.7077398717403414
,6480,,3.64,1,162,6070,170.90446916999994,,,,,,,,,,,
168.60736846923828,6520,3.0,,,,,,0.8442667722702026,0.081632674,0.2,1620,0.0003,10872.721232604981,0.0023859783067018635,0.5300000108778476,3662.629638671875,-0.009148955345153809,-3.707548552751541
,6520,,3.63,1,163,6089,171.69724298999998,,,,,,,,,,,
373.52710342407227,6560,5.0,,,,,,0.8454875946044922,0.021710072,0.2,1630,0.0003,7391.802365112305,0.014396473008382604,0.43250000979751346,3031.9140625,0.1324891448020935,-3.699948301911354
,6560,,3.62,1,164,6109,174.76406008,,,,,,,,,,,
252.46621131896973,6600,5.0,,,,,,0.8453307151794434,0.009876165,0.2,1640,0.0003,22237.45333251953,-0.02255041990065365,0.1625000024214387,7852.46728515625,0.007209837436676025,-3.70672821700573
,6600,,3.61,1,165,6157,172.742716,,,,,,,,,,,
220.74862480163574,6640,5.0,,,,,,0.8430454134941101,0.024826052,0.2,1650,0.0003,17768.923219299315,-0.027813822818446843,0.12000000178813934,11828.478515625,0.07595086097717285,-3.701956084370613
,6640,,3.62,1,166,6180,173.06069319000002,,,,,,,,,,,
327.3583450317383,6680,5.0,,,,,,0.8411917686462402,0.018240597,0.2,1660,0.0003,13794.174029541016,-0.017524731876255827,0.17250000294297935,3644.80810546875,0.07322490215301514,-3.693172872066498
,6680,,3.63,1,167,6198,177.15060570999998,,,,,,,,,,,
334.34981536865234,6720,5.0,,,,,,0.8402456641197205,0.010982962,0.2,1670,0.0003,8150.538259887695,-0.004770943344919942,0.1325000025331974,1086.8514404296875,0.07855343818664551,-3.6867716044187544
,6720,,3.68,1,168,6218,187.12276284000004,,,,,,,,,,,
367.6470727920532,6760,5.0,,,,,,0.8393545150756836,0.0564428,0.2,1680,0.0003,11784.453463745118,-0.020767825328875916,0.15000000279396772,4467.03857421875,0.19187438488006592,-3.6796298742294313
,6760,,3.78,1,169,6239,197.20920328000003,,,,,,,,,,,
81.34379768371582,6800,3.0,,,,,,0.8385156393051147,0.013557685,0.2,1690,0.0003,8291.638352966309,-0.0002629767451435283,0.23000000454485417,6841.59326171875,0.26452577114105225,-3.6769009828567505
,6800,,3.72,1,170,6349,200.73708292999999,,,,,,,,,,,
427.0330505371094,6840,5.0,,,,,,0.8378511667251587,0.015158329,0.2,1700,0.0003,9782.405889892578,-0.025666931859414044,0.31000000704079866,7598.80517578125,0.10835880041122437,-3.674587684869766
,6840,,3.76,1,171,6373,203.36317856000002,,,,,,,,,,,
279.0086250305176,6880,5.0,,,,,,0.8374261856079102,0.016359372,0.2,1710,0.0003,8445.720850372314,-0.019981863963330397,0.21250000391155482,379.60400390625,0.21757197380065918,-3.6718005895614625
,6880,,3.76,1,172,6392,208.27700217999998,,,,,,,,,,,
298.2377014160156,6920,5.0,,,,,,0.8357959985733032,0.015183713,0.2,1720,0.0003,11303.256336975097,-0.029546475861352485,0.33750000726431606,9070.806640625,0.10205882787704468,-3.6681113451719285
,6920,,3.82,1,173,6410,214.76524693999997,,,,,,,,,,,
59.057687401771545,6960,5.0,,,,,,0.8327903747558594,0.044970006,0.2,1730,0.0003,9087.832736206055,-0.020032212016667474,0.3975000087171793,5000.0517578125,0.1234169602394104,-3.6593798846006393
,6960,,3.89,1,174,6430,212.75605169999994,,,,,,,,,,,
-5.203527808189392,7000,2.0,,,,,,0.8315409421920776,0.086949915,0.2,1740,0.0003,6957.377308654785,-0.01144554582831916,0.5225000109523534,7419.03271484375,0.1891193985939026,-3.648348796367645
,7000,,3.88,1,175,6445,213.48070868000002,,,,,,,,,,,
156.0615234375,7040,3.0,,,,,,0.8310704231262207,0.009017995,0.2,1750,0.0003,17333.9088684082,-0.015878008697727642,0.0875000013038516,6823.82666015625,0.0657915472984314,-3.6478786021471024
,7040,,3.81,1,176,6466,209.82866779000003,,,,,,,,,,,
160.7123146057129,7080,4.0,,,,,,0.8280875086784363,0.021702245,0.2,1760,0.0003,10465.375421142578,-0.025142215865562312,0.3300000082701445,2362.891845703125,0.04195582866668701,-3.6406626880168913
,7080,,3.7,1,177,6487,200.73614722,,,,,,,,,,,
24.723150968551636,7120,3.0,,,,,,0.8278874158859253,0.017985515,0.2,1770,0.0003,17845.681567382813,-0.006565627509589866,0.32500000614672897,13075.9033203125,-0.059696078300476074,-3.6348960757255555
,7120,,3.7,1,178,6505,204.02847049,,,,,,,,,,,
236.9568977355957,7160,5.0,,,,,,0.8295793533325195,0.036532406,0.2,1780,0.0003,15152.697763061524,-0.0071238510482726225,0.34250000715255735,11099.0869140625,0.1311168670654297,-3.63684658408165
,7160,,3.76,1,179,6522,204.26202694999995,,,,,,,,,,,
50.038963317871094,7200,2.0,,,,,,0.8317131400108337,0.006585115,0.2,1790,0.0003,9553.322230529786,-0.008298121298575989,0.19500000420957803,4800.1025390625,0.13796144723892212,-3.639979973435402
,7200,,3.71,1,180,6539,201.08095777,,,,,,,,,,,
309.81944465637207,7240,5.0,,,,,,0.8312220573425293,0.021511734,0.2,1800,0.0003,11656.947749328614,-0.001026530238559642,0.20500000473111868,4404.27099609375,0.10690242052078247,-3.6450764000415803
,7240,,3.78,1,181,6561,208.81007342,,,,,,,,,,,
419.6653060913086,7280,5.0,,,,,,0.8297881484031677,0.009226643,0.2,1810,0.0003,17142.220234680175,-0.008866270461512615,0.13500000219792127,4984.375,0.11017352342605591,-3.6402476161718367
,7280,,3.74,1,182,6583,204.36700807,,,,,,,,,,,
89.49706840515137,7320,4.0,,,,,,0.8296087980270386,0.023517659,0.2,1820,0.0003,13974.26279296875,-0.013696701371227383,0.3925000077113509,11310.5966796875,0.15108799934387207,-3.6364597141742707
,7320,,3.73,1,183,6605,206.81043943,,,,,,,,,,,
281.3142833709717,7360,5.0,,,,,,0.827257513999939,0.0077156364,0.2,1830,0.0003,8192.516857910156,-0.0032200566312530986,0.17750000339001418,6911.3017578125,0.148701012134552,-3.6347669035196306
,7360,,3.62,1,184,6626,195.6109261,,,,,,,,,,,
-5.0,7400,1.0,,,,,,0.8256837725639343,0.021057032,0.2,1840,0.0003,11489.520776367188,-0.015984661660795606,0.1400000022724271,5263.728515625,0.20288783311843872,-3.624866732954979
,7400,,3.6,1,185,6658,194.38408611,,,,,,,,,,,
72.04938507080078,7440,2.0,,,,,,0.8251861333847046,0.039886992,0.2,1850,0.0003,8940.010737609864,-0.013794704335159658,0.3525000074878335,2592.693603515625,0.13467055559158325,-3.6205322265625
,7440,,3.69,1,186,6678,201.66893588,,,,,,,,,,,
429.7341842651367,7480,5.0,,,,,,0.8255211114883423,0.022592312,0.2,1860,0.0003,16046.411849975586,-0.01505778195940366,0.3475000075995922,9653.2294921875,0.12400597333908081,-3.619094318151474
,7480,,3.74,1,187,6696,207.46046909999993,,,,,,,,,,,
196.5952606201172,7520,3.0,,,,,,0.8239465951919556,0.025972335,0.2,1870,0.0003,16912.13950805664,-0.02610281665096408,0.20500000473111868,12577.5224609375,0.21462947130203247,-3.6177504688501356
,7520,,3.7,1,188,6713,206.88739686,,,,,,,,,,,
33.13616180419922,7560,2.0,,,,,,0.8244080543518066,0.031097524,0.2,1880,0.0003,15833.481420898437,-0.015291518674057425,0.21250000391155482,11558.8427734375,0.09708648920059204,-3.616001784801483
,7560,,3.64,1,189,6736,206.64538778999997,,,,,,,,,,,
