time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/std,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
2990,299,3128,53.625815550000006,2.19,0,0.9634957313537598,298,0.2,12780.55712890625,-4.1443190574646,-0.00859987735748291,0.0005692839622497559,0.0,2415.240966796875,0.0003,1.4483929e-06,,
3000,,,,,,0.9634565114974976,299,0.2,3582.7552490234375,-4.144261121749878,0.010321557521820068,-0.00023783446231373517,0.0,1501.1282958984375,0.0003,1.0967254e-06,203.5425455570221,5.0
3000,300,3137,58.787148589999994,2.25,0,,,,,,,,,,,,,
3010,301,3143,54.695905520000004,2.22,0,0.9634016752243042,300,0.2,28431.8759765625,-4.144103765487671,0.009286820888519287,0.00036062003928094555,0.0,15078.2685546875,0.0003,2.4795534e-06,,
3020,302,3187,55.03870149,2.25,0,0.963394045829773,301,0.2,4406.7545166015625,-4.143969535827637,0.00506216287612915,0.003195148753002197,0.0,2573.395751953125,0.0003,1.5026331e-05,,
3030,303,3192,57.370955880000004,2.28,0,0.9633454084396362,302,0.2,1292.0966186523438,-4.143915176391602,0.05713158845901489,-0.0023818194866187525,0.0,927.2461547851562,0.0003,5.4758788e-05,,
3040,,,,,,0.9632946848869324,303,0.2,2509.5377197265625,-4.143754720687866,-0.06539273262023926,-0.0052012445405127394,0.0,1197.7100830078125,0.0003,8.763075e-05,190.9672679901123,5.0
3040,304,3202,59.73406556,2.27,0,,,,,,,,,,,,,
3050,305,3255,59.20264839999999,2.31,0,0.9632480144500732,304,0.2,38547.9677734375,-4.143593072891235,0.018126070499420166,0.0005259037250651133,0.0,26760.412109375,0.0003,6.401539e-06,,
3060,306,3259,60.57509147999999,2.31,0,0.9632073640823364,305,0.2,12366.12109375,-4.143454313278198,-0.02048969268798828,-0.0016265392769128084,0.0,5962.556640625,0.0003,3.0440093e-05,,
3070,307,3264,58.77889356000001,2.32,0,0.9631735682487488,306,0.2,2519.0802001953125,-4.143322706222534,-0.014720439910888672,-0.004513991065323353,0.0,1297.6234130859375,0.0003,3.9553644e-05,,
3080,,,,,,0.9631619453430176,307,0.2,608.8244018554688,-4.143234491348267,-0.05139613151550293,0.0006111502647403455,0.0,290.5999755859375,0.0003,7.909536e-06,19.08327293395996,2.0
3080,308,3275,59.49081182999999,2.33,0,,,,,,,,,,,,,
3090,309,3279,59.95563688,2.32,0,0.9631287455558777,308,0.2,5024.753845214844,-4.143179893493652,0.022441983222961426,-0.0011432587867599153,0.0,4214.80859375,0.0003,2.5987626e-06,,
3100,310,3286,54.323551130000006,2.29,0,0.9630865454673767,309,0.2,410.2332000732422,-4.143066644668579,0.21748340129852295,0.0012205243809155775,0.0,251.6639404296875,0.0003,5.7816505e-06,,
3110,311,3291,58.67929611,2.32,0,0.9630162715911865,310,0.2,3497.9076538085938,-4.142906427383423,0.010986328125,0.002352148247882546,0.0,2758.14697265625,0.0003,1.0228157e-05,,
3120,,,,,,0.9629631042480469,311,0.2,45373.1630859375,-4.142703294754028,-0.0032614469528198242,0.0001284539786867711,0.0,34313.53515625,0.0003,8.857251e-06,14.241430282592773,2.0
3120,312,3301,56.75759904999999,2.26,0,,,,,,,,,,,,,
3130,313,3305,60.23122382,2.29,0,0.9629153609275818,312,0.2,8820.526123046875,-4.142542362213135,-0.03577554225921631,0.0002864360867533833,0.0,6322.6982421875,0.0003,4.7028066e-06,,
3140,314,3310,59.62743258,2.28,0,0.9628733992576599,313,0.2,34398.9228515625,-4.142397880554199,0.006356596946716309,-0.00013508797565009445,0.0,21274.662109375,0.0003,7.5101855e-07,,
3150,315,3318,59.27134632,2.27,0,0.962849497795105,314,0.2,783.3364868164062,-4.142282724380493,-0.028185367584228516,0.0004162714059932071,0.0,292.74591064453125,0.0003,1.1080504e-05,,
3160,,,,,,0.9628485441207886,315,0.2,1856.5596618652344,-4.142225742340088,0.03218585252761841,-0.003296732855960549,0.0,475.1020202636719,0.0003,2.3597479e-05,-5.0,1.0
3160,316,3326,61.46280094000001,2.32,0,,,,,,,,,,,,,
3170,317,3330,63.70683127,2.34,0,0.9628297090530396,316,0.2,7720.20166015625,-4.142218589782715,-0.0003701448440551758,0.0017438352573662108,0.0,2633.69384765625,0.0003,5.041957e-05,,
3180,318,3336,63.07956856,2.3,0,0.9627997279167175,317,0.2,9866.651123046875,-4.142139673233032,0.0071907639503479,-0.0019059360260147429,0.0,6064.28857421875,0.0003,2.4938583e-05,,
3190,319,3338,68.44008422,2.37,0,0.9627773761749268,318,0.2,1702.8334350585938,-4.142047643661499,0.014904499053955078,-0.00014981627173238365,0.0,768.76953125,0.0003,9.816885e-06,,
3200,,,,,,0.9627623558044434,319,0.2,17568.89697265625,-4.14198899269104,-0.01726377010345459,5.123615410429494e-05,0.0,12095.5068359375,0.0003,6.0737134e-06,-0.5624480247497559,2.0
3200,320,3347,66.35097505,2.36,0,,,,,,,,,,,,,
3210,321,3353,63.349419039999994,2.31,0,0.9627477526664734,320,0.2,4468.570281982422,-4.141942024230957,-0.008626461029052734,-0.0009315967909060419,0.0,4124.82373046875,0.0003,3.2663345e-06,,
3220,322,3356,64.11386141,2.35,0,0.9627333879470825,321,0.2,25007.036987304688,-4.1419007778167725,-0.014446735382080078,0.000777304207440821,0.0,684.3139038085938,0.0003,3.2246114e-06,,
3230,323,3407,58.86107216000001,2.3,0,0.9627388715744019,322,0.2,2452.8204956054688,-4.141869783401489,-0.005983829498291016,-0.0014558553928507578,0.0,1859.7352294921875,0.0003,1.4734268e-05,,
3240,,,,,,0.9627258777618408,323,0.2,806.721923828125,-4.141870737075806,-0.008350968360900879,0.0004033863486254674,0.0,415.2926940917969,0.0003,1.372695e-05,-5.0,1.0
3240,324,3415,61.86683697,2.35,0,,,,,,,,,,,,,
3250,325,3418,63.3971438,2.35,0,0.9627079963684082,324,0.2,11501.6884765625,-4.141807317733765,-0.019810199737548828,0.0003750026284250474,0.0,7077.76416015625,0.0003,3.3915044e-06,,
3260,326,3423,64.31621601,2.35,0,0.9626998901367188,325,0.2,5722.1917724609375,-4.141747713088989,-0.0009684562683105469,-0.0006185114267283076,0.0,1461.6710205078125,0.0003,3.7252903e-06,,
3270,327,3428,63.73317627,2.29,0,0.9627012014389038,326,0.2,14783.73681640625,-4.141733407974243,-0.010233879089355469,3.1515957379824044e-05,0.0,9354.0380859375,0.0003,4.541874e-06,,
3280,,,,,,0.9626842737197876,327,0.2,6379.1015625,-4.141730785369873,-0.023460984230041504,0.0013917923206463456,0.0,1317.1605224609375,0.0003,1.3756752e-05,83.3648681640625,2.0
3280,328,3440,60.50015015000001,2.24,0,,,,,,,,,,,,,
3290,329,3443,65.11492918,2.23,0,0.962699830532074,328,0.2,1464.1541442871094,-4.141653537750244,-0.007871508598327637,-0.0004328668117530299,0.0,1119.34912109375,0.0003,1.5437603e-06,,
3300,330,3446,70.20308714000001,2.28,0,0.9627496600151062,329,0.2,60501.251953125,-4.141757488250732,-0.0054738521575927734,0.002254891395569558,0.0,43684.5,0.0003,2.4223327e-05,,
3310,331,3452,69.82019075,2.25,0,0.9627930521965027,330,0.2,17688.5908203125,-4.141900539398193,-0.020233154296875,-0.0006008744356194029,0.0,5633.7138671875,0.0003,4.3928626e-06,,
3320,,,,,,0.9628661870956421,331,0.2,2550.8699340820312,-4.1420135498046875,-0.05518829822540283,-0.0013859034050254238,0.0,797.9312744140625,0.0003,3.38316e-05,-10.0,2.0
3320,332,3465,67.05212182999999,2.24,0,,,,,,,,,,,,,
3330,333,3471,62.64936616000001,2.19,0,0.9629742503166199,332,0.2,1218.99365234375,-4.142307996749878,0.053121984004974365,-0.0035319506656463773,0.0,548.387939453125,0.0003,2.8032066e-05,,
3340,334,3477,61.56693604,2.21,0,0.9630510210990906,333,0.2,816.3682861328125,-4.14261794090271,-0.017184019088745117,0.002039820002391224,0.0,477.66424560546875,0.0003,2.6965141e-05,,
3350,335,3480,60.65305583,2.22,0,0.9631249308586121,334,0.2,1154.1005554199219,-4.142848491668701,-0.020116686820983887,0.0031216263771058905,0.0,471.88671875,0.0003,3.452897e-05,,
3360,,,,,,0.963194727897644,335,0.2,17556.9189453125,-4.143080234527588,0.004912316799163818,0.0006409108638765204,0.0,5996.12158203125,0.0003,2.0325185e-06,-5.0,1.0
3360,336,3489,62.427503040000005,2.18,0,,,,,,,,,,,,,
3370,337,3494,63.58255047000001,2.19,0,0.9632347822189331,336,0.2,12936.891845703125,-4.143275737762451,-0.020133018493652344,-0.00023621320433431237,0.0,10444.021484375,0.0003,1.770258e-06,,
3380,338,3547,63.90973962000001,2.16,0,0.9632641673088074,337,0.2,41425.9345703125,-4.1433916091918945,0.002559065818786621,4.345178787446002e-06,0.0,32144.193359375,0.0003,1.0788441e-06,,
3390,339,3554,63.84464935000002,2.14,0,0.9632732272148132,338,0.2,1357.2549133300781,-4.143468856811523,-0.09376871585845947,0.00013597011275123805,0.0,341.0867919921875,0.0003,1.7881393e-07,,
3400,,,,,,0.9632870554924011,339,0.2,1674.0193176269531,-4.143502235412598,-0.03387784957885742,0.00036046505556441844,0.0,450.4046936035156,0.0003,1.0907651e-06,388.2003364562988,5.0
3400,340,3567,54.14922026,1.98,0,,,,,,,,,,,,,
3410,341,3573,56.81026283000001,2.01,0,0.9632772207260132,340,0.2,5058.60595703125,-4.143534421920776,-0.02057778835296631,-0.0006701946258544922,0.0,1857.9959716796875,0.0003,5.3286553e-06,,
3420,342,3577,60.72816366000001,2.01,0,0.9632542133331299,341,0.2,21398.66015625,-4.14348578453064,0.008997023105621338,-0.0005215451004914051,0.0,10479.2421875,0.0003,1.2689829e-05,,
3430,343,3580,63.64787183000001,2.04,0,0.9632368087768555,342,0.2,68789.337890625,-4.1434197425842285,-0.007833480834960938,-0.0024460480082773017,0.0,48029.953125,0.0003,9.524822e-06,,
3440,,,,,,0.96320641040802,343,0.2,1892.0372924804688,-4.143359661102295,-0.03025805950164795,0.0003308892191853374,0.0,1067.3936767578125,0.0003,4.10676e-06,270.6792411804199,5.0
3440,344,3592,65.89311174000001,2.05,0,,,,,,,,,,,,,
3450,345,3599,66.66697435,2.02,0,0.9631791114807129,344,0.2,17278.21142578125,-4.1432671546936035,-0.014295697212219238,-0.0011622906429691326,0.0,2722.26953125,0.0003,1.2725592e-05,,
3460,346,3605,67.21528094,2.04,0,0.9631640315055847,345,0.2,4976.6865234375,-4.143186807632446,-0.05115842819213867,0.001736307120881797,0.0,2571.846435546875,0.0003,7.3611736e-06,,
3470,347,3608,67.10694217,2.05,0,0.963159441947937,346,0.2,1955.966796875,-4.14315390586853,-0.0030753612518310547,-0.0009256601682849919,0.0,826.4688720703125,0.0003,2.670288e-06,,
3480,,,,,,0.9631550312042236,347,0.2,22908.68359375,-4.143129587173462,-0.019256114959716797,0.0012899339664729226,0.0,14425.4345703125,0.0003,7.4005125e-05,-5.0,1.0
3480,348,3962,64.44090827,2.03,0,,,,,,,,,,,,,
3490,349,3972,56.4962788,1.99,0,0.9631422758102417,348,0.2,1019.879638671875,-4.143099308013916,0.014303863048553467,0.0011106491088881398,0.0,621.0350952148438,0.0003,1.974702e-05,,
3500,350,3976,52.820097329999996,1.92,0,0.9631227254867554,349,0.2,869.1713562011719,-4.143038749694824,-0.0005336999893188477,0.0015687943203372967,0.0,450.35906982421875,0.0003,5.841255e-06,,
3510,351,3984,55.43405949,1.88,0,0.9630815386772156,350,0.2,4852.1412353515625,-4.142981052398682,0.023089051246643066,-3.3357740903738886e-05,0.0,1331.755615234375,0.0003,1.5723706e-05,,
3520,,,,,,0.9629836082458496,351,0.2,1298.0546875,-4.142805576324463,0.08542889356613159,0.0016830742592048864,0.0,806.9906616210938,0.0003,1.6075373e-05,61.27565789222717,3.0
3520,352,4005,54.866618550000005,1.89,0,,,,,,,,,,,,,
3530,353,4009,61.163032439999995,1.92,0,0.9628540873527527,352,0.2,1408.221435546875,-4.142461538314819,0.017537832260131836,0.0007140487548895624,0.0,692.1369018554688,0.0003,2.1094083e-05,,
