eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/loss
20.0,1156.101481437683,12200,,,,,,0.0034196484,-0.0028272883261706737,-0.04107320308685303,0.9174898862838745,0.057812501001171766,0.2,-4.001076583564282,88062.44240722657,380,0.0003,30153.36328125
15.0,747.5014152526855,12300,,,,,,,,,,,,,,,,
6.0,190.35945892333984,12400,,,,,,,,,,,,,,,,
,,12480,39,518.58010894,10.69,9766,1,,,,,,,,,,,
18.0,987.5087451934814,12500,,,,,,0.00927901,-0.004519175754057869,-0.056140899658203125,0.9133098125457764,0.12781250204425304,0.2,-3.988607843220234,78569.94770507813,390,0.0003,41920.015625
15.0,797.6768934726715,12600,,,,,,,,,,,,,,,,
14.0,641.7371845245361,12700,,,,,,,,,,,,,,,,
20.0,1202.7557621002197,12800,,,,,,,,,,,,,,,,
,,12800,40,482.48746283,10.48,9955,1,,,,,,,,,,,
18.0,1228.476261138916,12900,,,,,,0.0070179,0.000301413959959973,0.010882198810577393,0.9100713729858398,0.15375000247731804,0.2,-3.9778421998023985,64228.10437011719,400,0.0003,29827.125
19.0,1110.4605827331543,13000,,,,,,,,,,,,,,,,
13.0,781.5158653259277,13100,,,,,,,,,,,,,,,,
,,13120,41,460.7537879,9.82,10094,1,,,,,,,,,,,
3.0,73.02772521972656,13200,,,,,,0.006658254,-0.0011565380985302908,-0.0499342679977417,0.9086119532585144,0.06468750119674951,0.2,-3.968397244811058,98299.32209472657,410,0.0003,29259.271484375
19.0,837.5478677749634,13300,,,,,,,,,,,,,,,,
20.0,1376.9382228851318,13400,,,,,,,,,,,,,,,,
,,13440,42,465.10995062,9.88,10232,1,,,,,,,,,,,
7.0,297.5123462677002,13500,,,,,,0.00429573,-0.004678877678236404,-0.04154932498931885,0.9052549600601196,0.04781250089872628,0.2,-3.961911028623581,81545.34624023437,420,0.0003,31698.572265625
20.0,897.7846088409424,13600,,,,,,,,,,,,,,,,
13.0,737.6277542114258,13700,,,,,,,,,,,,,,,,
,,13760,43,522.99393728,10.74,10470,1,,,,,,,,,,,
20.0,736.1414175033569,13800,,,,,,0.010543971,0.014674306863003039,-0.02267611026763916,0.9035317301750183,0.19937500483356416,0.2,-3.9513980612158774,85933.39790039063,430,0.0003,34327.57421875
20.0,1189.492317199707,13900,,,,,,,,,,,,,,,,
15.0,574.53342628479,14000,,,,,,,,,,,,,,,,
,,14080,44,477.31052854999996,10.24,10618,1,,,,,,,,,,,
20.0,1259.18212890625,14100,,,,,,0.0056155,-0.009407898300696615,-0.07545900344848633,0.8992266654968262,0.09687500186264515,0.2,-3.9418271869421004,102901.31352539062,440,0.0003,54519.55859375
11.0,631.1801986694336,14200,,,,,,,,,,,,,,,,
20.0,811.7883644104004,14300,,,,,,,,,,,,,,,,
14.0,650.395432472229,14400,,,,,,,,,,,,,,,,
,,14400,45,484.62357769999994,10.3,10942,1,,,,,,,,,,,
20.0,1256.4219093322754,14500,,,,,,0.0052031297,-0.001998541146986099,-0.11730098724365234,0.8929266333580017,0.04781250099185854,0.2,-3.9249965384602548,83626.534375,450,0.0003,31237.955078125
20.0,1215.9956378936768,14600,,,,,,,,,,,,,,,,
5.0,183.55234146118164,14700,,,,,,,,,,,,,,,,
,,14720,46,463.0417051500001,10.04,11856,1,,,,,,,,,,,
3.0,54.476491928100586,14800,,,,,,0.014787005,-0.0072590801926253334,-0.016408681869506836,0.8895787000656128,0.0828125016996637,0.2,-3.907201160490513,89569.35998535156,460,0.0003,56430.4375
5.0,146.28667736053467,14900,,,,,,,,,,,,,,,,
5.0,169.0345458984375,15000,,,,,,,,,,,,,,,,
,,15040,47,463.76927473,9.86,12538,1,,,,,,,,,,,
20.0,1317.5560264587402,15100,,,,,,0.011089647,-0.009069870959137916,-0.10504448413848877,0.8889423608779907,0.19687500349245965,0.2,-3.8991236850619315,85941.26938476562,470,0.0003,52816.71875
20.0,1190.9928877353668,15200,,,,,,,,,,,,,,,,
20.0,1088.9876098632812,15300,,,,,,,,,,,,,,,,
,,15360,48,472.27016534,10.08,13433,1,,,,,,,,,,,
10.0,647.8218955993652,15400,,,,,,0.008551311,-0.004561235657502038,-0.04997658729553223,0.8829841017723083,0.06437500128522515,0.2,-3.887864018976688,79871.32194824218,480,0.0003,40989.9609375
7.0,299.04821968078613,15500,,,,,,,,,,,,,,,,
20.0,1137.9768371582031,15600,,,,,,,,,,,,,,,,
,,15680,49,524.32475908,10.8,13592,1,,,,,,,,,,,
