time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss
0,12.253095320000002,7962,1116,2990,2.37,873.2700805664062,2889,0.001,-14.972807884216309
0,13.267499189999999,7988,1120,3002,2.4,891.1179809570312,2899,0.001,-14.062552452087402
0,13.706990880000003,8002,1124,3012,2.42,820.7059936523438,2909,0.001,-13.499232769012451
0,13.416417379999999,8012,1128,3020,2.42,1046.28759765625,2919,0.001,-12.783260345458984
0,13.802521439999998,8042,1132,3035,2.44,869.1842041015625,2933,0.001,-13.841356754302979
0,14.122253809999997,8063,1136,3047,2.44,835.1121520996094,2945,0.001,-14.696231365203857
0,14.98679779,8085,1140,3059,2.46,905.2312316894531,2956,0.001,-14.50142240524292
0,15.076142550000004,8116,1144,3075,2.5,907.8724365234375,2972,0.001,-16.000065485636394
0,15.477508470000005,8133,1148,3085,2.51,899.0057373046875,2983,0.001,-16.06644916534424
0,16.01612785,8214,1152,3100,2.56,811.4091593424479,2996,0.001,-15.068579196929932
0,15.769955829999997,8229,1156,3111,2.55,775.9684041341146,3008,0.001,-12.792771339416504
0,15.61559064,8243,1160,3121,2.56,804.1323038736979,3018,0.001,-12.48624038696289
0,14.988980360000003,8256,1164,3131,2.54,759.8388671875,3030,0.001,-13.470250129699707
0,15.12687924,8277,1168,3142,2.54,901.4167785644531,3039,0.001,-13.890195369720459
0,15.462258259999999,8294,1172,3153,2.55,880.2348937988281,3051,0.001,-14.432331085205078
0,16.25325,8316,1176,3167,2.62,861.52783203125,3063,0.001,-15.31653881072998
0,17.1767416,8334,1180,3180,2.67,887.7828165690104,3077,0.001,-15.312692642211914
0,19.18179264,8377,1184,3193,2.7,862.5199584960938,3090,0.001,-14.718353271484375
0,18.60275028,8383,1188,3199,2.66,744.9932861328125,3098,0.001,-14.990278244018555
0,18.70265731,8402,1192,3209,2.66,826.9676310221354,3107,0.001,-15.945610046386719
0,20.023964959999997,8420,1196,3220,2.71,791.3897094726562,3116,0.001,-14.963027954101562
0,20.160825090000003,8434,1200,3231,2.71,826.5659790039062,3129,0.001,-16.621015548706055
0,20.38397868,8452,1204,3241,2.73,796.2757568359375,3138,0.001,-15.289332866668701
0,20.53012574,8462,1208,3248,2.74,817.4317016601562,3146,0.001,-14.272170066833496
0,19.675554499999997,8475,1212,3257,2.73,831.9341125488281,3155,0.001,-14.78715991973877
0,19.72806939,8488,1216,3266,2.76,1148.239990234375,3163,0.001,-14.660712242126465
0,19.421490520000003,8505,1220,3276,2.74,1073.837158203125,3173,0.001,-13.91606330871582
0,19.690627239999998,8529,1224,3288,2.76,869.689013671875,3186,0.001,-14.27462387084961
0,21.247969320000003,8555,1228,3302,2.82,744.0883585611979,3198,0.001,-14.451590061187744
0,19.972116240000002,8581,1232,3315,2.8,962.6109415690104,3211,0.001,-14.673990249633789
0,19.62053763,8596,1236,3324,2.77,625.5126953125,3222,0.001,-14.320399284362793
0,18.26387886,8608,1240,3332,2.73,1098.005126953125,3229,0.001,-13.87748908996582
0,18.81532519,8635,1244,3345,2.7,802.9929962158203,3242,0.001,-15.325726509094238
0,18.200031369999998,8644,1248,3352,2.67,690.0514831542969,3250,0.001,-14.768172264099121
0,17.394558099999998,8663,1252,3362,2.62,971.373779296875,3258,0.001,-14.570651054382324
0,17.759662829999996,8687,1256,3374,2.63,888.3435262044271,3272,0.001,-18.31635284423828
0,17.73614509,8701,1260,3383,2.62,790.7037963867188,3281,0.001,-17.66676139831543
0,17.33734294,8714,1264,3392,2.61,841.3562622070312,3289,0.001,-15.821427822113037
0,16.34117935,8724,1268,3400,2.58,927.3635864257812,3298,0.001,-14.78461742401123
0,15.270917660000002,8732,1272,3407,2.54,1024.6949462890625,3304,0.001,-12.623394966125488
0,15.066792889999999,8749,1276,3418,2.51,793.404052734375,3314,0.001,-13.131996154785156
0,15.09678939,8764,1280,3429,2.49,900.4519653320312,3325,0.001,-13.11573314666748
0,14.57639351,8780,1284,3440,2.47,813.2720133463541,3337,0.001,-14.790390014648438
0,15.228946720000001,8793,1288,3449,2.5,840.08642578125,3346,0.001,-14.953978538513184
0,15.423855160000002,8809,1292,3459,2.5,860.7873128255209,3358,0.001,-16.103564739227295
0,14.63369909,8824,1296,3469,2.49,853.4020182291666,3366,0.001,-15.564460277557373
0,14.276585890000002,8837,1300,3478,2.47,828.7015075683594,3377,0.001,-14.731843948364258
0,13.972856409999999,8852,1304,3488,2.47,844.4869232177734,3387,0.001,-13.629048347473145
0,14.729549850000001,8869,1308,3499,2.51,866.6880900065104,3396,0.001,-14.414528846740723
0,15.65248646,8883,1312,3509,2.52,880.3378499348959,3407,0.001,-14.561617851257324
0,16.3409064,8899,1316,3520,2.54,915.2330322265625,3416,0.001,-15.750833511352539
0,16.36799911,8915,1320,3531,2.55,919.6498413085938,3427,0.001,-14.415634155273438
0,15.908422539999998,8933,1324,3541,2.53,858.1219177246094,3439,0.001,-12.28055477142334
0,15.386465379999999,8956,1328,3552,2.5,924.9902954101562,3449,0.001,-13.325804710388184
0,15.576646670000002,8982,1332,3565,2.5,875.5774078369141,3462,0.001,-13.773727893829346
0,14.694878859999996,8990,1336,3572,2.48,909.4436645507812,3470,0.001,-12.942400932312012
0,14.949287929999999,9006,1340,3582,2.5,685.6487426757812,3480,0.001,-14.833719253540039
0,13.66242023,9017,1344,3590,2.45,805.3021850585938,3488,0.001,-15.413395881652832
0,14.193001799999998,9028,1348,3598,2.46,949.2562255859375,3496,0.001,-16.26813316345215
0,15.084652940000002,9046,1352,3609,2.47,870.7051391601562,3505,0.001,-16.04678726196289
0,14.257611070000001,9061,1356,3618,2.44,992.8218688964844,3516,0.001,-15.615510940551758
0,14.93056418,9082,1360,3629,2.46,937.5831604003906,3525,0.001,-14.207180976867676
0,16.23612199,9391,1364,3643,2.51,872.6895141601562,3542,0.001,-15.955320994059244
0,16.450094219999997,9404,1368,3651,2.51,890.8685709635416,3550,0.001,-16.360058784484863
0,16.93528116,9420,1372,3660,2.53,910.9383544921875,3557,0.001,-16.978918075561523
0,16.1363821,9430,1376,3667,2.49,745.486572265625,3564,0.001,-15.420172691345215
0,15.384167799999998,9443,1380,3675,2.46,1031.4456787109375,3572,0.001,-14.657785415649414
0,14.146239450000003,9454,1384,3683,2.43,916.9583740234375,3582,0.001,-13.756962776184082
0,13.89941682,9467,1388,3691,2.42,896.7174987792969,3589,0.001,-14.59161376953125
0,12.79803696,9480,1392,3699,2.4,643.8961181640625,3597,0.001,-14.218426704406738
0,14.590609359999998,9507,1396,3713,2.44,952.5633239746094,3610,0.001,-15.891308784484863
0,13.60803805,9510,1400,3717,2.39,737.7251586914062,3616,0.001,-15.643325805664062
0,14.068899290000001,9532,1404,3729,2.41,893.3489990234375,3625,0.001,-13.839408874511719
0,14.123353400000001,9547,1408,3739,2.4,893.968994140625,3636,0.001,-13.15231990814209
0,13.620199500000002,9557,1412,3747,2.38,965.2320861816406,3645,0.001,-13.96916389465332
0,15.16639731,9581,1416,3760,2.4,827.4115193684896,3655,0.001,-14.154332160949707
0,14.726514279999998,9595,1420,3768,2.37,1029.043701171875,3665,0.001,-16.396718978881836
0,14.82925988,9615,1424,3778,2.37,905.7556762695312,3675,0.001,-16.61882781982422
0,14.631332830000002,9631,1428,3787,2.35,1018.92041015625,3683,0.001,-16.28736972808838
0,14.37002698,9643,1432,3796,2.31,776.3844401041666,3695,0.001,-13.550704002380371
0,15.60386626,9666,1436,3807,2.35,950.3685709635416,3704,0.001,-11.574433326721191
0,14.86609244,9674,1440,3813,2.31,1160.9854736328125,3711,0.001,-11.355920791625977
0,15.808671470000002,9688,1444,3823,2.33,759.6759338378906,3721,0.001,-14.290884971618652
0,15.353265300000002,9699,1448,3831,2.33,979.4744873046875,3729,0.001,-13.420809745788574
0,14.42861338,10016,1452,3843,2.34,874.6966145833334,3740,0.001,-13.824535369873047
0,13.85861419,10027,1456,3851,2.33,771.0652872721354,3750,0.001,-14.485060691833496
0,13.542251,10040,1460,3860,2.31,820.3479919433594,3759,0.001,-14.060711860656738
0,13.307194140000002,10064,1464,3873,2.3,923.5656331380209,3770,0.001,-14.417689800262451
0,14.076091120000001,10080,1468,3883,2.32,946.2002766927084,3781,0.001,-16.54872703552246
0,14.13567441,10099,1472,3894,2.34,744.4824829101562,3791,0.001,-14.549155235290527
0,14.86174366,10115,1476,3904,2.37,886.4552917480469,3801,0.001,-12.875929832458496
0,14.680545819999999,10124,1480,3911,2.36,888.9008178710938,3809,0.001,-14.018765449523926
0,15.541550510000002,10143,1484,3921,2.38,813.4263000488281,3820,0.001,-14.536235332489014
0,16.090515970000002,10165,1488,3932,2.41,787.0055135091146,3828,0.001,-14.047515869140625
0,17.42310888,10192,1492,3944,2.45,878.1401163736979,3842,0.001,-14.85549545288086
0,15.52594004,10208,1496,3953,2.4,826.3428344726562,3851,0.001,-16.20485496520996
0,17.55771533,10229,1500,3964,2.47,901.1754557291666,3861,0.001,-15.611124038696289
0,18.131088889999997,10253,1504,3976,2.47,937.8431091308594,3873,0.001,-16.61192226409912
0,17.58663669,10265,1508,3984,2.45,834.3114929199219,3880,0.001,-17.11112403869629
0,18.940102479999997,10285,1512,3995,2.48,918.1359252929688,3893,0.001,-13.378771781921387
0,17.189201490000002,10300,1516,4004,2.44,750.3223876953125,3901,0.001,-13.892385959625244
0,17.84273166,10324,1520,4016,2.48,876.4995727539062,3914,0.001,-15.386534214019775
0,17.572314679999998,10341,1524,4026,2.48,788.2444254557291,3924,0.001,-14.706358909606934
0,17.716102130000003,10373,1528,4041,2.54,940.3552856445312,3937,0.001,-15.380087852478027
0,17.364602599999998,10396,1532,4052,2.56,777.6424357096354,3950,0.001,-14.125473022460938
0,16.96887225,10411,1536,4062,2.55,1000.8550720214844,3959,0.001,-14.63182258605957
0,17.964892300000002,10426,1540,4071,2.58,854.329833984375,3969,0.001,-13.714200019836426
0,17.089209620000002,10436,1544,4078,2.55,1018.6539306640625,3977,0.001,-12.146484375
0,17.69229357,10449,1548,4087,2.56,677.7335205078125,3984,0.001,-15.021583557128906
0,19.17954147,10476,1552,4101,2.58,990.7506408691406,3998,0.001,-15.038208961486816
0,19.65090079,10491,1556,4111,2.6,782.7502136230469,4008,0.001,-10.587907791137695
0,19.038813259999998,10502,1560,4119,2.59,707.9081420898438,4016,0.001,-12.239204406738281
0,18.37781138,10518,1564,4129,2.56,927.7158508300781,4026,0.001,-15.697833061218262
0,17.67169615,10533,1568,4139,2.56,832.9955139160156,4037,0.001,-12.841273307800293
0,18.61623848,10551,1572,4150,2.56,869.7186584472656,4048,0.001,-13.122700691223145
0,18.906412200000002,10567,1576,4160,2.56,892.685302734375,4057,0.001,-15.076635837554932
0,19.08396833,10577,1580,4168,2.57,904.3483428955078,4066,0.001,-16.233395099639893
0,18.63757672,10591,1584,4177,2.56,918.8765258789062,4075,0.001,-13.653985977172852
0,18.595437569999998,10612,1588,4188,2.56,866.2143147786459,4086,0.001,-14.158908367156982
0,18.79677174,10628,1592,4198,2.54,1057.8571166992188,4097,0.001,-15.250479698181152
0,18.6748001,10641,1596,4207,2.54,813.9568684895834,4104,0.001,-15.109461784362793
0,17.53063046,10654,1600,4216,2.52,967.8851928710938,4115,0.001,-17.34665870666504
0,17.037025369999995,10678,1604,4228,2.52,906.5975952148438,4126,0.001,-16.292025089263916
0,16.86757068,10687,1608,4235,2.51,911.4988199869791,4134,0.001,-17.655569076538086
0,15.604711689999998,10698,1612,4243,2.48,904.8040161132812,4142,0.001,-11.537542819976807
0,15.826970259999998,10717,1616,4252,2.48,942.479736328125,4149,0.001,-12.869734764099121
0,15.41489214,10741,1620,4265,2.49,716.6842346191406,4162,0.001,-18.505352020263672
0,15.490045299999997,10754,1624,4274,2.48,1095.800537109375,4172,0.001,-15.299403190612793
0,15.116848030000002,10771,1628,4283,2.42,754.5892740885416,4180,0.001,-14.854920387268066
0,15.846919879999998,10788,1632,4294,2.42,894.9986165364584,4192,0.001,-14.741204261779785
0,15.102817869999999,10800,1636,4303,2.41,806.345947265625,4200,0.001,-13.00231647491455
0,14.41859394,10810,1640,4312,2.41,1025.3184204101562,4209,0.001,-11.153738975524902
0,15.428328749999999,10825,1644,4323,2.45,994.5809733072916,4219,0.001,-14.724740982055664
0,15.38936094,10837,1648,4333,2.46,897.0543823242188,4230,0.001,-16.384488582611084
0,14.00253052,10880,1652,4344,2.43,866.5804443359375,4242,0.001,-14.77496337890625
0,14.84785965,10895,1656,4355,2.44,929.5164794921875,4252,0.001,-13.878379821777344
0,16.532406050000002,10918,1660,4370,2.51,784.4233093261719,4267,0.001,-16.85353946685791
0,16.03248084,10929,1664,4379,2.5,806.5166015625,4277,0.001,-14.72972297668457
0,16.131107599999996,10938,1668,4387,2.48,882.4783630371094,4286,0.001,-11.147358894348145
