time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction
2800,-7.531644105911255,2.0,,,,,,1846.4585111618042,1636.418212890625,-0.02786993980407715,690,0.9020446538925171,0.2,0.020727042,-0.013537132121018657,-3.946405550837517,0.0003,0.16250000279396773
2800,,,2.08,70,3688,21.69395886,0,,,,,,,,,,,
2840,10.157877922058105,2.0,,,,,,1795.7804019927978,213.12710571289062,0.007548093795776367,700,0.8996502757072449,0.2,0.043662917,-0.03742424038588069,-3.9378222793340685,0.0003,0.3075000062584877
2840,,,2.07,71,3780,21.536449320000003,0,,,,,,,,,,,
2880,36.58729338645935,4.0,,,,,,1071.2625741958618,182.76876831054688,-0.0205996036529541,710,0.8960341215133667,0.2,0.039003707,-0.011166311572960696,-3.929473212361336,0.0003,0.19250000398606062
2880,,,1.95,72,3819,21.77042282,0,,,,,,,,,,,
2920,70.71857452392578,3.0,,,,,,3417.8310594558716,198.81057739257812,-0.020565032958984375,720,0.8959617614746094,0.2,0.013040762,-0.009359215026779565,-3.92073832154274,0.0003,0.19250000398606062
2920,,,1.78,73,3852,17.125053639999997,0,,,,,,,,,,,
2960,46.24186706542969,2.0,,,,,,987.3534666061402,146.3953094482422,-0.03206431865692139,730,0.8956918716430664,0.2,0.036340818,-0.0034888335427967878,-3.9212050437927246,0.0003,0.2925000054761767
2960,,,1.79,74,3884,13.880389180000002,0,,,,,,,,,,,
3000,43.831172943115234,2.0,,,,,,677.5414459228516,1087.5975341796875,-0.03389942646026611,740,0.8969212770462036,0.2,0.020059822,0.014984425403526985,-3.920159649848938,0.0003,0.32000000681728125
3000,,,1.84,75,3968,12.89428977,0,,,,,,,,,,,
3040,38.625587463378906,2.0,,,,,,378.3175500869751,80.13835144042969,-0.04721987247467041,750,0.8954124450683594,0.2,0.049872052,0.01022522917328388,-3.9237908154726027,0.0003,0.2975000059232116
3040,,,1.98,76,4022,13.290579699999999,0,,,,,,,,,,,
3080,-5.0,1.0,,,,,,366.2407182693481,65.44624328613281,0.008297622203826904,760,0.8949241638183594,0.2,0.061227992,-0.014640082318801451,-3.918147376179695,0.0003,0.46750000976026057
3080,,,1.91,77,4079,11.40623331,0,,,,,,,,,,,
3120,-10.0,2.0,,,,,,2781.0698330879213,254.48326110839844,-0.00034177303314208984,770,0.8954004049301147,0.2,0.05696223,0.008982919888221664,-3.9199612855911257,0.0003,0.21750000379979612
3120,,,1.9,78,4121,10.975834520000001,0,,,,,,,,,,,
3160,63.22948455810547,3.0,,,,,,474.72642793655393,91.31581115722656,0.004193663597106934,780,0.8929709792137146,0.2,0.029001925,-0.04347080863299198,-3.916550427675247,0.0003,0.38000000901520253
3160,,,1.88,79,4168,9.537685580000002,0,,,,,,,,,,,
