time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/loss
7080,3.0,67.72067832946777,,,,,,1645.2043107032775,1760,0.2,-3.197572132945061,0.30335497856140137,0.0003,-0.031188110471412078,0.3150000074878335,0.038114615,0.7261645197868347,2216.711181640625
7080,,,4.25,107.05474389,5885,1,177,,,,,,,,,,,
7120,5.0,190.09963035583496,,,,,,1637.9288314819337,1770,0.2,-3.2003382205963136,0.15161561965942383,0.0003,-0.006021734290770841,0.22500000484287738,0.02058297,0.7279000282287598,1058.3682861328125
7120,,,4.19,106.77838492000001,5930,1,178,,,,,,,,,,,
7160,3.0,56.80910682678223,,,,,,1817.3075492858886,1780,0.2,-3.2008030146360396,0.27588117122650146,0.0003,-0.004703868852848248,0.19500000420957803,0.03999716,0.7267822027206421,1064.5833740234375
7160,,,4.18,106.73471403000002,5964,1,179,,,,,,,,,,,
7200,5.0,184.25212287902832,,,,,,2427.0035469055174,1790,0.2,-3.1905470579862594,0.20157617330551147,0.0003,-0.03610217174208632,0.4100000089034438,0.04478814,0.7237458229064941,1250.9779052734375
7200,,,4.23,110.63054279000002,6004,1,180,,,,,,,,,,,
7240,4.0,84.94816017150879,,,,,,1747.9507564544679,1800,0.2,-3.1856035113334658,0.41965413093566895,0.0003,-0.023333404960794724,0.23750000596046447,0.013721954,0.7237850427627563,736.2091064453125
7240,,,4.29,109.96689873,6041,1,181,,,,,,,,,,,
7280,2.0,20.91866111755371,,,,,,3377.447499084473,1810,0.2,-3.1826602458953857,-0.0730360746383667,0.0003,-0.01789897828770335,0.21750000435858965,0.029773328,0.7228565216064453,463.6197204589844
7280,,,4.2,106.76106239,6078,1,182,,,,,,,,,,,
7320,3.0,65.67342948913574,,,,,,3177.54497756958,1820,0.2,-3.1750376909971236,0.07132875919342041,0.0003,0.004182723179583259,0.14750000257045032,0.014025162,0.7215675711631775,1868.3533935546875
7320,,,4.12,105.13819708,6116,1,183,,,,,,,,,,,
7360,5.0,80.5672721862793,,,,,,2374.812483596802,1830,0.2,-3.1660088777542112,0.13357770442962646,0.0003,-0.005086729915055909,0.36250000856816766,0.05741053,0.7182928919792175,1532.5810546875
7360,,,4.1,103.36052905000003,6152,1,184,,,,,,,,,,,
