time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/std,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction
12160,492.83078384399414,5.0,,,,,,-0.010684944606909986,3030,33984.2415222168,0.025416078,-3.02062232196331,22450.052734375,0.6781744956970215,0.0003,0.13691037893295288,0.2,0.19500000420957803
12160,,,1,9707,304,326.74292016000004,3.83,,,,,,,,,,,
12200,519.0078048706055,5.0,,,,,,-0.005079330045846287,3040,28310.92478942871,0.010934097,-3.0167835891246795,32414.90625,0.6774080991744995,0.0003,0.1841568946838379,0.2,0.19000000394880773
12200,,,1,9725,305,344.18589052999994,3.91,,,,,,,,,,,
12240,385.7096710205078,5.0,,,,,,-0.03162817713455297,3050,24191.77639160156,0.02023225,-3.014495301246643,25340.5,0.6775022745132446,0.0003,0.1874966025352478,0.2,0.3675000086426735
12240,,,1,9744,306,350.7095261,3.96,,,,,,,,,,,
12280,353.30970764160156,5.0,,,,,,-0.03711256729729939,3060,25606.853439331055,0.046278186,-3.0154716074466705,30297.51953125,0.6772205829620361,0.0003,0.10390520095825195,0.2,0.5600000133737921
12280,,,1,9762,307,365.91509392,4.07,,,,,,,,,,,
12320,502.0634307861328,5.0,,,,,,-0.013532429436018002,3070,22926.42237548828,0.01232924,-3.014737915992737,10862.77734375,0.6778361201286316,0.0003,0.1442890763282776,0.2,0.3175000069662929
12320,,,1,9782,308,372.38097486000004,4.12,,,,,,,,,,,
12360,352.7774267196655,5.0,,,,,,-0.01877006580005398,3080,23160.521069335937,0.019055579,-3.0141744554042815,14643.7255859375,0.6769205927848816,0.0003,0.19711917638778687,0.2,0.30250000581145287
12360,,,1,9844,309,383.2602841799999,4.12,,,,,,,,,,,
12400,619.7906723022461,5.0,,,,,,-0.019159828115225534,3090,36624.8682434082,0.015843816,-3.0118870556354524,8061.0283203125,0.6770756244659424,0.0003,-0.04022777080535889,0.2,0.17750000394880772
12400,,,1,9861,310,377.46018058000004,4.09,,,,,,,,,,,
12440,487.7352523803711,5.0,,,,,,-0.024220543679102778,3100,26263.10098724365,0.03690451,-3.007810690999031,16766.322265625,0.6750134229660034,0.0003,0.19353437423706055,0.2,0.3175000067800283
12440,,,1,9884,311,381.13607476000004,4.08,,,,,,,,,,,
12480,166.4245719909668,3.0,,,,,,-0.010768000654788923,3110,37619.095178222655,0.010036524,-2.9972646564245222,15259.78125,0.6733560562133789,0.0003,-0.05470442771911621,0.2,0.34500000700354577
12480,,,1,9903,312,381.2021269499999,4.04,,,,,,,,,,,
12520,320.12387466430664,5.0,,,,,,-0.017430183521209973,3120,29032.011108398438,0.012632359,-2.991512727737427,6412.89111328125,0.6721367239952087,0.0003,0.07857269048690796,0.2,0.21250000465661287
12520,,,1,9924,313,376.09925755999996,4.02,,,,,,,,,,,
