eval/mean_reward,eval/mean_ep_length,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/value_loss,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/std,train/clip_range,train/learning_rate
193.71545028686523,5.0,2080,,,,,,510,4526.23726348877,2844.3369140625,-3.9906787812709807,0.22250000461935998,0.042003750801086426,-0.030092106335941938,0.012609637,0.9179456233978271,0.2,0.0003
,,2080,2.92,2218,75.97100159,0,52,,,,,,,,,,,
72.83329772949219,3.0,2120,,,,,,520,3469.3164627075193,2212.07763671875,-3.987870717048645,0.11500000189989805,0.05904513597488403,-0.026226599335204815,0.018098917,0.9163533449172974,0.2,0.0003
,,2120,2.95,2240,79.03545125000001,0,53,,,,,,,,,,,
36.704917192459106,5.0,2160,,,,,,530,5420.457740783691,6055.4150390625,-3.9816670447587965,0.14750000312924386,0.08078116178512573,-0.017957015215361017,0.013089761,0.9147242307662964,0.2,0.0003
,,2160,3.1,2260,82.40079309999999,0,54,,,,,,,,,,,
122.55594158172607,5.0,2200,,,,,,540,3265.0377773284913,1014.3746337890625,-3.974230259656906,0.20000000428408385,0.22530776262283325,-0.02191632762209337,0.017769597,0.9117869734764099,0.2,0.0003
,,2200,3.23,2281,89.06486000000001,0,55,,,,,,,,,,,
175.67449569702148,4.0,2240,,,,,,550,5864.995510101318,2035.0765380859375,-3.966366618871689,0.16250000298023223,0.06934612989425659,-0.01879473988119571,0.0154119665,0.9105998277664185,0.2,0.0003
,,2240,3.14,2307,89.47833173,0,56,,,,,,,,,,,
32.56398677825928,5.0,2280,,,,,,560,3053.564096069336,669.730712890625,-3.9627995520830153,0.21750000603497027,0.0027785897254943848,-0.02940891905687749,0.027997846,0.909365177154541,0.2,0.0003
,,2280,3.22,2326,84.90600887999997,0,57,,,,,,,,,,,
94.52549886703491,5.0,2320,,,,,,570,1728.2459884643554,527.5847778320312,-3.9611573934555055,0.1250000024214387,0.10237473249435425,-0.008943915359150201,0.014261371,0.9096056222915649,0.2,0.0003
,,2320,3.34,2350,86.70735499000003,0,58,,,,,,,,,,,
298.54346084594727,5.0,2360,,,,,,580,5269.750777816773,904.2027587890625,-3.962644875049591,0.15500000286847354,0.13457399606704712,-0.00989731982466765,0.01589243,0.9100033640861511,0.2,0.0003
,,2360,3.46,2373,93.89243873,0,59,,,,,,,,,,,
-12.742552757263184,5.0,2400,,,,,,590,7507.01937713623,425.9035949707031,-3.962359204888344,0.13000000268220901,0.08570504188537598,-0.024727127133373862,0.0143426,0.9102782607078552,0.2,0.0003
,,2400,3.58,2415,93.33007626,0,60,,,,,,,,,,,
38.77621841430664,2.0,2440,,,,,,600,3112.1806621551514,1072.3790283203125,-3.960222002863884,0.4325000109151006,-0.042333126068115234,-0.039852987242629756,0.044343136,0.9079276323318481,0.2,0.0003
,,2440,3.53,2436,90.73323740000002,1,61,,,,,,,,,,,
54.02191352844238,3.0,2480,,,,,,610,3790.5224380493164,500.3224792480469,-3.9527797281742094,0.15500000286847354,0.1180080771446228,-0.01733362580984248,0.0149157075,0.9077644348144531,0.2,0.0003
,,2480,3.56,2460,89.06214579999998,1,62,,,,,,,,,,,
98.86094093322754,4.0,2520,,,,,,620,2532.265111923218,792.5325927734375,-3.9508631587028504,0.3375000074505806,0.12854111194610596,-0.034245320838017436,0.039509613,0.9063137769699097,0.2,0.0003
,,2520,3.47,2485,84.14267457000001,1,63,,,,,,,,,,,
