time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/std
2200,1.0,-5.0,,,,,,0.01375708,0.0003,0.001767277717590332,540,657.4406127929688,-3.855464479327202,0.15000000223517418,-0.01640407616214361,1229.4285477638246,0.2,0.8766440153121948
2200,,,4309,0,37.64060383,3.74,55,,,,,,,,,,,
2240,4.0,68.05964946746826,,,,,,0.020743772,0.0003,0.027354061603546143,550,1127.34912109375,-3.843959292769432,0.31500000730156896,-0.011750463236603536,1145.4757188796998,0.2,0.8734697699546814
2240,,,4348,0,42.236321870000005,3.76,56,,,,,,,,,,,
2280,5.0,103.6693286895752,,,,,,0.022123003,0.0003,0.11721020936965942,560,680.3951416015625,-3.8318174213171003,0.23750000465661286,-0.010926949881177279,1324.3609886169434,0.2,0.8705183267593384
2280,,,4454,0,44.27484086,3.77,57,,,,,,,,,,,
2320,5.0,63.3125205039978,,,,,,0.067702025,0.0003,0.06428050994873047,570,603.1609497070312,-3.828141877055168,0.27250000536441804,-0.030266274448004005,687.451172375679,0.2,0.871738612651825
2320,,,4540,0,43.92867983000001,3.79,58,,,,,,,,,,,
2360,3.0,40.41014766693115,,,,,,0.038474135,0.0003,0.06250309944152832,580,239.58746337890625,-3.824188792705536,0.2875000063329935,-0.04434247857861919,643.6958318710327,0.2,0.8671005964279175
2360,,,4579,0,46.75699451,3.82,59,,,,,,,,,,,
2400,5.0,63.426419734954834,,,,,,0.016149595,0.0003,0.12153607606887817,590,346.5776062011719,-3.8046730518341065,0.19000000450760127,-0.008939812268363313,1018.392202758789,0.2,0.8612906336784363
2400,,,4618,0,48.38006656999999,3.89,60,,,,,,,,,,,
