time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/loss
2960,,,4109,0,2.75,66.29426737,74,,,,,,,,,,,
3000,5.0,73.01233148574829,,,,,,0.03560328483581543,-0.009430867740738902,1721.0151290893555,0.0003,-3.9576247334480286,0.9111196994781494,0.21000000443309547,0.027919568,0.2,740,584.6668090820312
3000,,,4185,0,2.57,56.757974860000004,75,,,,,,,,,,,
3040,5.0,157.4152126312256,,,,,,0.02911984920501709,-0.014375175824989128,1749.899102973938,0.0003,-3.9553238213062287,0.9147796034812927,0.2650000061839819,0.03474138,0.2,750,410.5180358886719
3040,,,4269,0,2.66,57.12165284,76,,,,,,,,,,,
3080,5.0,347.2256965637207,,,,,,-0.03087007999420166,-0.006051521677873062,4751.453650665283,0.0003,-3.9624997824430466,0.9146341681480408,0.2200000049546361,0.009663835,0.2,760,2934.96240234375
3080,,,4292,0,2.73,62.324069279999996,77,,,,,,,,,,,
3120,2.0,15.400650024414062,,,,,,-0.03640282154083252,-0.013036933756520685,7531.29744644165,0.0003,-3.9547122418880463,0.9113203287124634,0.4250000104308128,0.027360883,0.2,770,4058.848388671875
3120,,,4364,0,2.57,53.5862285,78,,,,,,,,,,,
3160,5.0,264.31151580810547,,,,,,0.033026933670043945,-0.00729037871969922,3356.0903244018555,0.0003,-3.9499428421258926,0.9124042391777039,0.16500000283122063,0.025503019,0.2,780,2168.372802734375
3160,,,4422,0,2.72,59.41330484000001,79,,,,,,,,,,,
3200,4.0,171.49988174438477,,,,,,0.027978897094726562,-0.043186316463597905,6651.402741241455,0.0003,-3.9502429246902464,0.9119989275932312,0.4000000098720193,0.024673203,0.2,790,8719.408203125
3200,,,4448,0,2.74,66.1104599,80,,,,,,,,,,,
3240,5.0,175.65460777282715,,,,,,-0.024057626724243164,-0.01242881717800628,12272.607693481445,0.0003,-3.9449075400829314,0.9098114967346191,0.14000000208616256,0.008387428,0.2,800,5818.77734375
3240,,,4473,0,2.84,72.8892955,81,,,,,,,,,,,
3280,2.0,32.6332893371582,,,,,,-0.03569626808166504,-0.009538565611328532,7603.246991729737,0.0003,-3.936959797143936,0.9080886840820312,0.12500000204890965,0.010208499,0.2,810,8994.62890625
3280,,,4497,0,2.93,80.38221999000001,82,,,,,,,,,,,
3320,3.0,26.472230911254883,,,,,,-0.0720670223236084,-0.032681323206052194,8440.725633239746,0.0003,-3.931367966532707,0.9075902700424194,0.275000006146729,0.027182259,0.2,820,1609.633056640625
3320,,,4521,0,2.93,85.96368283,83,,,,,,,,,,,
3360,5.0,208.30570602416992,,,,,,-0.0001767873764038086,-0.017553550625398207,8007.933050537109,0.0003,-3.9296348869800566,0.907329261302948,0.3075000062584877,0.0264471,0.2,830,2682.19921875
3360,,,4546,0,2.8,83.05659047,84,,,,,,,,,,,
3400,4.0,43.255794525146484,,,,,,0.07131129503250122,-0.0028777215744048568,8370.132513427734,0.0003,-3.9237348407506945,0.9054131507873535,0.09250000156462193,0.0050630076,0.2,840,1778.8321533203125
3400,,,4570,0,2.89,92.29080916999999,85,,,,,,,,,,,
3440,5.0,73.10875988006592,,,,,,-0.12438201904296875,-0.017778501774846522,8524.838716125489,0.0003,-3.920555108785629,0.9049584269523621,0.20000000428408385,0.0270673,0.2,850,1597.72412109375
3440,,,4594,0,2.94,95.12299138,86,,,,,,,,,,,
3480,4.0,75.10192489624023,,,,,,-0.031575679779052734,-0.007192459715588484,6346.236554718018,0.0003,-3.9126411110162733,0.9007304906845093,0.2325000051409006,0.050212234,0.2,860,1585.3477783203125
3480,,,4621,0,2.97,96.67347724000001,87,,,,,,,,,,,
3520,1.0,-5.0,,,,,,-0.047402143478393555,-0.010822743864414397,8405.282297515869,0.0003,-3.9041928112506867,0.9007918834686279,0.20500000417232514,0.012176821,0.2,870,3125.964599609375
3520,,,4644,0,2.93,92.41902607,88,,,,,,,,,,,
3560,2.0,5.805474281311035,,,,,,0.012021958827972412,-0.03231056804143462,5765.244201660156,0.0003,-3.89764299094677,0.8969721794128418,0.2800000060349703,0.038859937,0.2,880,2342.0654296875
3560,,,4668,0,2.88,89.53691164999998,89,,,,,,,,,,,
3600,3.0,67.50485324859619,,,,,,-0.06388735771179199,-0.015791819741862122,5972.190299987793,0.0003,-3.8919135451316835,0.8973029851913452,0.17250000350177289,0.028116753,0.2,890,4050.05908203125
3600,,,4736,0,2.9,89.66825773000001,90,,,,,,,,,,,
3640,3.0,63.75120544433594,,,,,,0.012490928173065186,-0.021137263523432905,8425.455354309082,0.0003,-3.8942718744277953,0.8969782590866089,0.20000000409781932,0.024114203,0.2,900,2859.391357421875
3640,,,4760,0,2.95,91.80852442999999,91,,,,,,,,,,,
3680,5.0,357.6186294555664,,,,,,-0.07005369663238525,-0.0318365034359158,7808.802963256836,0.0003,-3.8889724254608153,0.8945052027702332,0.3250000076368451,0.02794683,0.2,910,4555.34228515625
3680,,,4782,0,3.02,94.56330347,92,,,,,,,,,,,
3720,3.0,75.23392868041992,,,,,,0.023090898990631104,0.006667970452981531,7906.104247665406,0.0003,-3.882693925499916,0.8928807973861694,0.34500000849366186,0.034244806,0.2,920,2758.14404296875
3720,,,4805,0,2.99,97.40158299000001,93,,,,,,,,,,,
3760,5.0,255.9503402709961,,,,,,-0.11108434200286865,0.0073803222250717225,9567.3918258667,0.0003,-3.8821383833885195,0.8951506614685059,0.5425000099465251,0.022936815,0.2,930,1775.5189208984375
3760,,,4827,0,2.99,96.02895781,94,,,,,,,,,,,
3800,2.0,6.9219560623168945,,,,,,-0.021487832069396973,-0.01904239006369608,6927.649551391602,0.0003,-3.8891090512275697,0.8964889049530029,0.14750000294297932,0.018295433,0.2,940,2224.1875
3800,,,4901,0,3.1,103.23533039999998,95,,,,,,,,,,,
3840,5.0,213.88291931152344,,,,,,0.02390158176422119,-0.020068578128775695,8320.425331878661,0.0003,-3.895172342658043,0.9004578590393066,0.2600000059232116,0.030946085,0.2,950,5946.1328125
3840,,,4920,0,3.18,115.35665427999999,96,,,,,,,,,,,
3880,2.0,44.086578369140625,,,,,,-0.030274033546447754,-0.02331763810110714,13663.758676147461,0.0003,-3.9023855298757555,0.9010710120201111,0.08750000149011612,0.011402996,0.2,960,2140.322265625
3880,,,4944,0,3.2,119.56981554,97,,,,,,,,,,,
3920,3.0,94.55289840698242,,,,,,-0.08917248249053955,-0.011707514080098912,8511.285423278809,0.0003,-3.9047167211771012,0.9024945497512817,0.12750000208616258,0.011265036,0.2,970,5900.771484375
3920,,,5037,0,3.21,121.85271909000001,98,,,,,,,,,,,
3960,5.0,358.6892738342285,,,,,,0.008339226245880127,-0.011631265444448213,11028.269300842285,0.0003,-3.9092986553907396,0.9047634601593018,0.1600000036880374,0.035609983,0.2,980,6684.38427734375
3960,,,5062,0,3.21,125.58728644000001,99,,,,,,,,,,,
4000,1.0,-5.0,,,,,,-0.01219785213470459,0.0010674485936033261,12252.824105834961,0.0003,-3.9096186995506286,0.9031766653060913,0.037500000558793545,0.0036508532,0.2,990,6471.62255859375
4000,,,5081,0,3.17,126.65664015,100,,,,,,,,,,,
