eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss
20.0,13200,2593.840530395508,,,,,,0.9311079382896423,0.010827208,206090.375,410,0.0003,-0.008084217713940235,0.2,0.12250000250060111,-0.036267757415771484,428114.3399414063,-4.042484024167061
19.0,13300,1741.8060493469238,,,,,,,,,,,,,,,,
10.0,13400,1198.814811706543,,,,,,,,,,,,,,,,
,13440,,48134,42,7.61,0,809.5148438700002,,,,,,,,,,,
8.0,13500,757.0653076171875,,,,,,0.9292373657226562,0.0115728285,302798.21875,420,0.0003,-0.004754816556737751,0.2,0.06343750127125532,-0.02651524543762207,462373.72734375,-4.037942010164261
8.0,13600,579.7825317382812,,,,,,,,,,,,,,,,
5.0,13700,274.6838836669922,,,,,,,,,,,,,,,,
,13760,,48674,43,8.14,0,894.1586375599999,,,,,,,,,,,
10.0,13800,903.4577898979187,,,,,,0.9283143281936646,0.010206173,96898.7265625,430,0.0003,-0.0176144402254522,0.2,0.14437500266358255,-0.10317444801330566,418198.521484375,-4.033148822188378
4.0,13900,336.01757049560547,,,,,,,,,,,,,,,,
20.0,14000,2475.8569355010986,,,,,,,,,,,,,,,,
,14080,,49646,44,7.5,0,790.05257487,,,,,,,,,,,
1.0,14100,-5.0,,,,,,0.9238811731338501,0.0043146927,325011.6875,440,0.0003,-0.00044066666895332675,0.2,0.09875000207684934,-0.03793466091156006,427000.3599609375,-4.025968021154403
20.0,14200,3783.318572998047,,,,,,,,,,,,,,,,
14.0,14300,1572.8842964172363,,,,,,,,,,,,,,,,
17.0,14400,2534.2510299682617,,,,,,,,,,,,,,,,
,14400,,50817,45,7.8,0,879.4993525599999,,,,,,,,,,,
6.0,14500,513.5130157470703,,,,,,0.9217162132263184,0.006632508,225421.8125,450,0.0003,-0.005595808917462364,0.2,0.12000000225380063,-0.08063232898712158,417553.48857421876,-4.013445669412613
20.0,14600,3671.052789211273,,,,,,,,,,,,,,,,
17.0,14700,2227.4882431030273,,,,,,,,,,,,,,,,
,14720,,51512,46,8.31,0,982.2804548199998,,,,,,,,,,,
13.0,14800,1291.8075428009033,,,,,,0.9213393926620483,0.016196162,184251.53125,460,0.0003,-0.020908464950969118,0.2,0.1878125029616058,-0.040216803550720215,534317.8203125,-4.009660571813583
20.0,14900,2173.7826614379883,,,,,,,,,,,,,,,,
14.0,15000,1596.5325164794922,,,,,,,,,,,,,,,,
,15040,,52491,47,8.6,0,997.5039652300002,,,,,,,,,,,
20.0,15100,1741.5499534606934,,,,,,0.9207396507263184,0.008681379,339362.6875,470,0.0003,-0.004873639173877109,0.2,0.10625000172294677,-0.029370665550231934,461267.9715820312,-4.007865536212921
20.0,15200,2057.2848052978516,,,,,,,,,,,,,,,,
19.0,15300,2458.042995452881,,,,,,,,,,,,,,,,
,15360,,53245,48,8.11,0,862.5383126800001,,,,,,,,,,,
20.0,15400,2772.182544708252,,,,,,0.9181389212608337,0.01179432,208154.609375,480,0.0003,-0.0052055790142276235,0.2,0.09625000176019967,-0.05854654312133789,361507.179296875,-4.002897381782532
19.0,15500,2278.775650024414,,,,,,,,,,,,,,,,
20.0,15600,2963.0919876098633,,,,,,,,,,,,,,,,
,15680,,53927,49,8.44,0,904.9654607899997,,,,,,,,,,,
7.0,15700,716.1225128173828,,,,,,0.915765643119812,0.005711034,198145.65625,490,0.0003,-0.005326325443093083,0.2,0.1318750025006011,-0.03345370292663574,446193.524609375,-3.993963986635208
15.0,15800,2275.653533935547,,,,,,,,,,,,,,,,
13.0,15900,1455.857509613037,,,,,,,,,,,,,,,,
20.0,16000,2790.7976608276367,,,,,,,,,,,,,,,,
,16000,,55052,50,9.35,0,1064.66721535,,,,,,,,,,,
20.0,16100,2955.642562866211,,,,,,0.9116973876953125,0.014621161,211650.421875,500,0.0003,-0.01806449301522548,0.2,0.19562500310130418,-0.13210487365722656,427389.9100585937,-3.9829442262649537
15.0,16200,1967.4933547973633,,,,,,,,,,,,,,,,
11.0,16300,1369.464698791504,,,,,,,,,,,,,,,,
,16320,,55914,51,9.82,0,1176.8201125900002,,,,,,,,,,,
20.0,16400,2309.221538543701,,,,,,0.9083819389343262,0.0049153483,204277.34375,510,0.0003,-0.00021163812797340143,0.2,0.15468750291038305,-0.07020282745361328,452998.794921875,-3.9716484248638153
5.0,16500,451.6556930541992,,,,,,,,,,,,,,,,
