time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/value_loss
8960,250.89642312999996,28,3352,2,9.44,0.2,0.9339348673820496,-4.054284924268723,-0.005547162105140169,-0.2622731924057007,0.0003,0.00788505,11152.78515625,0.14093750226311386,270,23575.380590820314
9280,249.33539897999995,29,3418,2,9.72,0.2,0.9299508929252625,-4.0461827427148815,-0.011699941552651583,-0.14312052726745605,0.0003,0.005311778,14016.8017578125,0.13687500257510693,280,23603.623944091796
9600,255.09338297,30,3488,2,8.96,0.2,0.9298499822616577,-4.035972526669502,-0.00635111584785591,-0.15900421142578125,0.0003,0.015636353,6810.6103515625,0.18562500250991434,290,21391.14696044922
9920,285.10566459,31,3554,2,10.17,0.2,0.9233866930007935,-4.034732112288475,0.009302175592092676,-0.05395853519439697,0.0003,0.017009983,8013.90576171875,0.21437500375323,300,20695.06791381836
10240,273.93945741000005,32,3791,2,10.44,0.2,0.9217401742935181,-4.010529175400734,-0.005510238703318465,-0.09234559535980225,0.0003,0.023153367,11080.890625,0.12406250203493982,310,23391.231188964844
10560,275.95362338,33,3914,2,10.84,0.2,0.921612024307251,-4.010368621349334,-0.002422656130710832,-0.14775609970092773,0.0003,0.009065561,10090.37109375,0.1665625014808029,320,17971.93426513672
10880,282.68670254999995,34,3985,2,11.17,0.2,0.9180189967155457,-4.00631707161665,-0.004880916404872549,-0.15905547142028809,0.0003,0.01588948,7743.638671875,0.13687500262167304,330,18238.77650756836
11200,290.77162633,35,4050,2,11.27,0.2,0.9169999957084656,-3.9974897757172583,0.0018168361277457745,-0.16001415252685547,0.0003,0.0032572516,10812.6396484375,0.0562500009778887,340,19886.225759887697
11520,292.83009021,36,4116,2,11.26,0.2,0.9160604476928711,-3.9935434490442274,-0.004357498563031187,-0.2814161777496338,0.0003,0.023428246,11012.61328125,0.10687500203493983,350,23584.400115966797
11840,296.96451874,37,4196,2,11.39,0.2,0.9124890565872192,-3.98590002655983,-0.01455545192948989,-0.1402137279510498,0.0003,0.015004511,13733.134765625,0.1796875035855919,360,22603.208142089843
